project_id;project_name;app_id;app_name;first_seen_at;last_seen_at;last_seen_app_version;last_seen_ip_country;last_seen_platform;last_seen_platform_version;last_seen_sdk_version;last_seen_locale;price_experiment_id;price_experiment_variant;email;phone_number;media_source;campaign;ad_group;ad;keyword;creative;idfa;idfv;gps_ad_id;custom_attributes;has_made_sandbox_purchase;latest_entitlement;latest_product;is_rc_promo;first_purchase_at;trial_start_at;trial_end_at;most_recent_purchase_at;most_recent_renewal_at;latest_expiration_at;subscription_opt_out_at;trial_opt_out_at;total_renewals;total_spent;latest_store;latest_store_country;latest_auto_renew_intent;all_purchased_product_ids;most_recent_billing_issues_at;status;has_made_a_non_subscription_purchase;latest_offer;latest_offer_type;latest_purchased_offering;latest_ownership_type;app_user_id
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1714785593374;1714785765000;1.1.3;KR;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;kEQTfACGx2PUk0sMG0A5z5cN1ok1
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1715213744470;1715213744000;1.1.3;US;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:c96f95e699f2479fad2314796b5bb4b0
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1715885588893;1716127254000;1.1.4;BE;iOS;Version 16.3.1 (Build 20D67);4.41.1;"en-GB,en;q=0.9";;;;;;;;;;;;1BBB1BD1-398D-461D-AE63-4FBB86D50020;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:3da22d7da1454ea49c1700acd81f03e3
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716371539389;1716371539000;1.1.4;US;iOS;Version 17.5 (Build 21F79);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;8B68A5BE-C5A2-4F0E-8195-32E7D59CF9A4;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;bySWT3GLbzaJmNBdqXweIrzVCF32
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1717705233287;1717705333000;2.0.1;US;iOS;Version 17.5.1 (Build 21F90);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;6E4B763A-7FEA-4392-8A84-28B776B12AD6;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;hbSSkgE39cOD2cBYhg0SPO0Qqfm1
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1715113773297;1715113773000;1.1.3;US;iOS;Version 17.4 (Build 21E213);4.41.1;"en-GB,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:575197e4944e47ff87ab5a68142685b1
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1717628001718;1717628001000;1.1.4;US;iOS;Version 17.0.1 (Build 21A342);4.41.1;"en-GB,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:1a99075cb7dc4021ae0e8027857a23fa
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716706102239;1717462799000;1.1.4;IN;iOS;Version 17.5 (Build 21F79);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;F4C1FBF0-96D2-4DEB-8A4B-996DF28B27A6;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;cSx3JRqaJFgs6ylF1R6p7oh32Vr2
a2c54556;Speakeasy;;;1717608499752;1717608499774;;;;;;;;;;;;;;;;;;1BF80BD2-0B2C-4251-88C1-A7E406B72FD9;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;lIdewBExc8UHRj0FLDWiioiVz882
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1717623457652;1717623457000;1.1.4;US;iOS;Version 17.4 (Build 21E213);4.41.1;"en-GB,en;q=0.9";;;;;;;;;;;;2009E736-AE81-4FF3-A84F-9C7481CCBAD0;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:3b88c4b4d27641629bb875f23761d2ba
