"plugin_name","plugin_author","num_downloads","description","repo_url"
"Custom State for Task List","By Okami Wong","802 downloads","Add custom states to task list items.","https://github.com/OkamiWong/obsidian-custom-state-for-task-list"
"Note archiver","By thenomadlad","405 downloads","Tools to archive your notes in another folder","https://github.com/thenomadlad/obsidian-note-archiver"
"Tag Wrangler","By PJ Eby","320,088 downloads","Rename, merge, toggle, and search tags from the tag pane.","https://github.com/pjeby/tag-wrangler"
"Mark and Select","By anselmwang","794 downloads","Set mark, move cursors freely and select from mark to cursor position.","https://github.com/anselmwang/obsidian-mark-and-select"
"Awesome Brain Manager","By Juck","1,435 downloads","A toolkit tries to solve all the trivial problems most people usually encountered in Obsidian.","https://github.com/JuckZ/awesome-brain-manager"
"Khoj","By Khoj AI","6,423 downloads","An AI personal assistant for your digital brain.","https://github.com/khoj-ai/khoj"
"Pocket","By Nimalan Mahendran","11,996 downloads","Access your Pocket reading list entries and create notes for them easily.","https://github.com/nybbles/obsidian-pocket"
"Sort & Permute lines","By Vinzent","23,615 downloads","Sort and Permute lines in whole file or selection.","https://github.com/Vinzent03/obsidian-sort-and-permute-lines"
"Colored Text","By Erinc Ayaz","8,534 downloads","Color the selected texts.","https://github.com/erincayaz/obsidian-colored-text"
"LanguageTool Integration","By Clemens Ertle","116,223 downloads","advanced spell/grammar checks with the help of language-tool.","https://github.com/Clemens-E/obsidian-languagetool-plugin"
"Things Logbook","By Liam Cain","4,470 downloads","Sync your Things logbook with your daily notes.","https://github.com/liamcain/obsidian-things-logbook"
"Air Quotes","By Alan Grainger","254 downloads","Search and insert quotes from a source text as you type","https://github.com/alangrainger/obsidian-air-quotes"
"Quip","By sblakey","785 downloads","Commands to publish Obsidian notes to Quip.com.","https://github.com/sblakey/obsidian-quip"
"Divide & Conquer","By pseudometa","2,971 downloads","Commands for bulk enabling/disabling of plugins. Useful for debugging when you have many plugins.","https://github.com/chrisgrieser/obsidian-divide-and-conquer"
"Weekly Review","By Brandon Boswell","1,563 downloads","Opens all of the files you have created in the last week.","https://github.com/brandonkboswell/weekly-review"
"Fountain","By darakah","2,943 downloads","Fountain support for Obsidian.","https://github.com/Darakah/obsidian-fountain"
"Open files with commands","By Lost Paul","1,243 downloads","Create commands that only open one file at the time and that can be used with the commander plugin.","https://github.com/LostPaul/ob-open-files-with-commands"
"Dida Todo Sync","By eightHundreds","324 downloads","Sync 滴答清单(ticktick) to obsidian","https://github.com/eightHundreds/obsidian-dida-sync"
"Table Extended","By AidenLx","29,666 downloads","Enable extended table support with MultiMarkdown 6 syntax.","https://github.com/aidenlx/table-extended"
"Editing Toolbar","By Cuman","72,880 downloads","The Editing Toolbar is modified from cmenu, which provides more powerful customization settings and has many built-in editing commands to be a MS Word-like toolbar editing experience.","https://github.com/cumany/obsidian-editing-toolbar"
"Update time on edit","By beaussan","12,599 downloads","Keep frontmatter in sync with the last edit time.","https://github.com/beaussan/update-time-on-edit-obsidian"
"Wordnik Definitions","By Henry Gustafson","731 downloads","Grabs information from Wordnik for a topic and brings it into Obsidian notes.","https://github.com/lizard-heart/obsidian-wordnik-definitions"
"Desmos","By Nigecat","5,164 downloads","Embed Desmos graphs into your notes.","https://github.com/Nigecat/obsidian-desmos"
"Metatable","By Arnau Siches","36,324 downloads","Display the whole frontmatter section as a collapsible table.","https://github.com/arnau/obsidian-metatable"
"Audio Notes","By Jason Maldonis","8,579 downloads","Create notes for podcasts and audio files, and automatically generate transcripts while listening so you can quickly take notes on the best parts of the podcast.","https://github.com/jjmaldonis/obsidian-audio-notes"
"Google Bard Assistant","By Aldhaneka","784 downloads","Explore new possibilities of learning with Integration of Google Bard! It's totally free, it also can show images from your question!","https://github.com/aldhanekaa/GoogleBardObsidian"
"Default New Tab Page","By pseudometa","6,643 downloads","Open a note of your choice when creating a new tab, like in the browser.","https://github.com/chrisgrieser/new-tab-default-page"
"Contacts","By vbeskrovnov","1,590 downloads","Manage and organize contacts.","https://github.com/vbeskrovnov/obsidian-contacts"
"Vault Statistics","By Bryan Kyle","21,833 downloads","Status bar item with vault statistics such as number of notes, files, attachments, and links.","https://github.com/bkyle/obsidian-vault-statistics-plugin"
"Text to Speech","By Johannes Theiner","9,878 downloads","Text to speech for Obsidian. Hear your notes.","https://github.com/joethei/obsidian-tts"
"Style Settings","By mgmeyers","492,964 downloads","Offers controls for adjusting theme, plugin, and snippet CSS variables.","https://github.com/mgmeyers/obsidian-style-settings"
"Table to CSV Exporter","By Stefan Wolfrum","3,534 downloads","Export tables from a pane in reading mode into CSV files.","https://github.com/metawops/obsidian-table-to-csv-export"
"Hard Breaks","By Börge Kiss","1,307 downloads","Turn soft line breaks in Markdown into hard line breaks.","https://github.com/bkis/obsidian-hard-breaks"
"Fast Image Cleaner","By Nathaniel","2,919 downloads","This plugin can fast delete image (or video, audio, file .....) attachment and remove referenced link by right clicking on the context menu option.","https://github.com/martinniee/Obsidian-fast-image-cleaner"
"Image Converter","By xRyul","105 downloads","Convert, compress and resize images from one format to another by dragging and dropping or pasting into the note.","https://github.com/xryul/obsidian-image-converter"
"Typing Transformer","By aptend","1,789 downloads","Improved, configurable auto formatting as typing.","https://github.com/aptend/typing-transformer-obsidian"
"Vault 2 Book","By Mitra98t","244 downloads","Converts your notes to a book creating a single file containing all the notes linked","https://github.com/Mitra98t/vault2book-plugin"
"React Components","By Elias Sundqvist","8,444 downloads","Write and use React (Jsx) components in your notes.","https://github.com/elias-sundqvist/obsidian-react-components"
"Perilous Writing","By Sameer Ismail","518 downloads","Write continuously—or lose all progress.","https://github.com/sameersismail/obsidian-perilous-writing"
"Phone to Roam to Obsidian","By Dylan Garrett","698 downloads","An Obsidian client for phonetoroam.com","https://github.com/dgarrett/phone-to-roam-to-obsidian"
"Copilot auto completion","By Jordi Smit","42 downloads","Adds a highly configurable copilot-like auto-completion to Obsidian using the ChatGPT API","https://github.com/j0rd1smit/obsidian-copilot-auto-completion"
"Calendar","By Liam Cain","736,180 downloads","Simple calendar widget for Obsidian.","https://github.com/liamcain/obsidian-calendar-plugin"
"Show Whitespace","By death_au","11,187 downloads","Show whitespace in the editor.","https://github.com/deathau/cm-show-whitespace-obsidian"
"x86 Assembly Flow Graphing","By icebear","403 downloads","Converts well formatted x86 assembly into appropriate flow graphs using Obsidian canvases.","https://github.com/dwolfe884/obsidian-x86-flow-graph"
"Link with alias","By Pavel Vojtechovsky","1,009 downloads","Creates links and aliases in front matter of target document.","https://github.com/pvojtechovsky/obsidian-link-with-alias"
"Obsidian Leaflet","By Jeremy Valentine","80,373 downloads","Interactive maps inside your notes.","https://github.com/javalent/obsidian-leaflet"
"Base Tag Renderer","By Darren Kuro","1,568 downloads","Renders the basename of tags in preview mode.","https://github.com/darrenkuro/obsidian-basetag"
"Readavocado Sync","By Cyrus Zhang","310 downloads","Sync your Readavocado highlights with Obsidian","https://github.com/innneang/obsidian-readavocado-sync"
"YTranscript","By Łukasz Strzępek","4,088 downloads","Easily fetch transcription for any YouTube video.","https://github.com/lstrzepek/obsidian-yt-transcript"
"Relative Find","By phibr0","1,118 downloads","Search relative to your cursor position.","https://github.com/phibr0/obsidian-relative-find"
"Remember File State","By Ludovic Chabant","3,070 downloads","Remembers cursor position, selection, scrolling, and more for each file.","https://github.com/ludovicchabant/obsidian-remember-file-state"
"Note Synchronizer","By Songchen Tan","2,750 downloads","Synchronize Obsidian notes to other note-based software like Anki, following more strictly the principles of Zettelkasten and treating each Obsidian file as a note.","https://github.com/tansongchen/obsidian-note-synchronizer"
"Quick note","By James Greenhalgh MBCS","57 downloads","Create a quick note in a floating window (on command or by right-clicking the Obsidian app icon)","https://github.com/jamesgreenblue/obsidian-quicknote"
"InlineCodeHighlight","By Dimava","191 downloads","Highlight inline `'md **code**` blocks as well as you do the ```md **big**``` ones.","https://github.com/Dimava/inline-code-highlight"
"Notes Sync Share","By Alt-er","279 downloads","Sync and share (publish) your notes in your own private service.","https://github.com/Alt-er/obsidian-sync-share"
"Annotator","By Elias Sundqvist","233,868 downloads","Read and annotate PDFs and EPUBs in Obsidian.","https://github.com/elias-sundqvist/obsidian-annotator"
"Booksidian","By Micha Brugger","3,378 downloads","Connect your Goodreads shelves to your Obsidian vault.","https://github.com/MichaBrugger/booksidian_plugin"
"Snippet Commands","By death_au","2,039 downloads","Registers custom CSS snippets as commands (which you can bind hotkeys to).","https://github.com/deathau/snippet-commands-obsidian"
"Stopwatch Plugin","By Tokuhiro Matsuno","2,312 downloads","Display stopwatch on Obsidian!","https://github.com/tokuhirom/obsidian-stopwatch-plugin"
"Canvas CSS class","By Lisandra-dev","5,787 downloads","Add a CSS class to the canvas, but also other attributes.","https://github.com/Lisandra-dev/obsidian-canvas-css-class"
"Mini Toolbar","By AidenLx & Boninall","266 downloads","Mini context toolbar in editor for Obsidian.","https://github.com/quorafind/obsidian-mini-toolbar"
"Yet Another Obsidian Synchronizer","By Mahyar Mirrashed","116 downloads","This is yet another obsidian synchronizer that uses Git to synchronize your vault contents across devices.","https://github.com/mahyarmirrashed/yaos"
"Surfing","By Boninall","17,496 downloads","Surf the Net in Obsidian like a web browser.","https://github.com/PKM-er/Obsidian-Surfing"
"PostgreSQL Obsidian","By Camille Louédoc-Eyries","1,261 downloads","Upload your notes' metadata to a PostgreSQL database","https://github.com/clouedoc/postgresql-obsidian"
"Github Publisher","By Mara-Li","8,559 downloads","Github Publisher helps you to publish your notes on a preconfigured GitHub repository, for free, and more!","https://github.com/ObsidianPublisher/obsidian-github-publisher"
"Icon Swapper","By mgmeyers","3,922 downloads","Allows swapping out Obsidian's default icons.","https://github.com/mgmeyers/obsidian-icon-swapper"
"Commander","By Johnny✨ and phibr0","88,426 downloads","Customize your workspace by adding commands everywhere, create macros and supercharge your mobile toolbar.","https://github.com/phibr0/obsidian-commander"
"Image To Lskypro","By NekouTarou","207 downloads","Auto upload images from clipboard to Lskypro.","https://github.com/NekoTarou/lskypro-auto-upload"
"Chronology","By Gabriele Cannata","14,015 downloads","Provides a calendar and a timeline of the notes creation and modification.","https://github.com/Canna71/obsidian-chronology"
"text2anki-openai","By Mani Batra","531 downloads","This is an obsidian plugin that uses OpenAI to generate flashcards from text and add them to Anki.","https://github.com/manibatra/obsidian-text2anki-openai"
"Easy Bake","By mgmeyers","178 downloads","Easily compile many Obsidian notes down to a single file.","https://github.com/mgmeyers/obsidian-easy-bake"
"Image Layouts","By Luke Chadwick","2,615 downloads","Add beautiful image layouts to your notes.","https://github.com/vertis/obsidian-image-layouts"
"HamsterBase Official","By HamsterBase","361 downloads","Official HamsterBase -> Obsidian integration","https://github.com/hamsterbase/obsidian-hamsterbase"
"Obsidian asciimath","By widcardw","1,867 downloads","Add asciimath support for Obsidian.","https://github.com/widcardw/obsidian-asciimath"
"Dictionary","By phibr0","122,481 downloads","A multilingual dictionary for Obsidian.","https://github.com/phibr0/obsidian-dictionary"
"Tagged Documents Viewer","By Marcus Geduld","12,714 downloads","Opens a modal with scrollable content of all documents that contain a specific tag or tags.","https://github.com/mgeduld/obsidian-tagged-documents-viewer"
"BBCode Convertor","By Alex Lockhart","473 downloads","Convert Markdown files to BBCode.","https://github.com/salockhart/obsidian-bbcode"
"Google Calendar and Contacts Lookup","By ntawileh","5,417 downloads","Import contact and calendar event information from your Google account.","https://github.com/ntawileh/obsidian-google-lookup"
"Templater","By SilentVoid","591,013 downloads","Create and use templates.","https://github.com/SilentVoid13/Templater"
"Pivotal Tracker Integration","By jondeates","225 downloads","Pull stories, bugs, chores from pivotal tracker","https://github.com/jonnydeates/obsidian-pivotal-tracker-integration-plugin"
"TimeStamper","By Martin Eder","12,502 downloads","Insert a customized or predefined time- or date-stamp at the current cursor position.","https://github.com/Gru80/obsidian-timestamper"
"Card View Mode","By PADAone","8,605 downloads","Enable to view your notes as cards.","https://github.com/yo-goto/obsidian-card-view-mode"
"Daily Note Outline","By iiz","6,771 downloads","Add a custom view which shows outline of multiple daily notes with headings, links, tags and list items.","https://github.com/iiz00/obsidian-daily-note-outline"
"Boost Link Suggestions","By Jacob Levernier","716 downloads","Alternative inline link suggester that orders results by link count and manual boosts.","https://github.com/jglev/obsidian-boost-link-suggestions"
"CardBoard","By roovo","34,476 downloads","Display Markdown tasks on kanban-style boards.","https://github.com/roovo/obsidian-card-board"
"Obsidian Markdown export","By bingryan","4,588 downloads","Markdown export for Obsidian.","https://github.com/bingryan/obsidian-markdown-export-plugin"
"Wrap with shortcuts","By Manic Chuang","3,082 downloads","Wrap selected text in custom tags with shortcuts. E.g.: underline, sub, ruby(フリガナ).","https://github.com/manic/obsidian-wrap-with-shortcuts"
"File Cleaner","By Johnson0907","8,577 downloads","Help you to clean empty files and unused attachments in the vault.","https://github.com/Johnson0907/obsidian-file-cleaner"
"HTML Reader","By Nuthrash","10,776 downloads","HTML file reader for Obsidian. Can open documents with .html and .htm file extensions.","https://github.com/nuthrash/obsidian-html-plugin"
"AI Mentor","By clementpoiret","1,073 downloads","Meet your open source AI mentor in Obsidian. Ask questions, get answers, and learn new things.","https://github.com/clementpoiret/ai-mentor"
"Smart Rename","By mnaoumov","490 downloads","Renames notes keeping previous title in existing links","https://github.com/mnaoumov/obsidian-smart-rename"
"Hide Sidebars on Window Resize","By NomarCub, Michael Hanson","6,158 downloads","Automatically hides the sidebars when your window is narrow on window resize","https://github.com/NomarCub/obsidian-hide-sidebars-on-window-resize"
"The One Ring 2E Statblocks","By Michael Hansen","361 downloads","Render NPC and adversary statblocks for The One Ring 2E roleplaying game.","https://github.com/modality/obsidian-the-one-ring-2e-statblocks"
"Game Search","By calvin","762 downloads","Help insert game metadata into game notes or journals","https://github.com/CMorooney/obsidian-game-search-plugin"
"Note Linker","By Alexander Weichart","6,259 downloads","Automatically find and create new links between notes.","https://github.com/AlexW00/obsidian-note-linker"
"BMO Chatbot","By Longy2k","663 downloads","Generate and brainstorm ideas while creating your notes using Large Language Models (LLMs) such as OpenAI's gpt-3.5-turbo and gpt-4 for Obsidian.","https://github.com/longy2k/obsidian-bmo-chatbot"
"Readwise Community","By renehernandez","4,947 downloads","Sync Readwise highlights into your notes","https://github.com/renehernandez/obsidian-readwise"
"Daf Yomi","By lyonsquark","1,505 downloads","Prepare Daf Yomi notes.","https://github.com/lyonsquark/obsidian-daf-yomi"
"Metadata Menu","By mdelobelle","55,794 downloads","For data quality enthusiasts and Dataview users: access and manage the metadata of your notes.","https://github.com/mdelobelle/metadatamenu"
"Ketcher","By Yulei Chen","757 downloads","View or draw chemical structures and reactions using Ketcher.","https://github.com/yuleicul/obsidian-ketcher"
"Obsidian to Flomo","By Xiaoyu Li","832 downloads","Quickly share content to Flomo.","https://github.com/metal-young/obsidian-to-flomo"
"Open In New Tab","By patleeman","3,195 downloads","Opens files in new tabs like a browser","https://github.com/patleeman/obsidian-open-in-new-tab"
"Link Nodes in Canvas","By Boninall","2,973 downloads","Add edges between notes in Canvas based on their links.","https://github.com/Quorafind/Obsidian-Link-Nodes-In-Canvas"
"Fantasy name generator","By Lukewh","235 downloads","Insert a random fantasy name.","https://github.com/lukewh/fantasy-name"
"Obsidian Memos","By Boninall","59,582 downloads","Works perfect with your journal","https://github.com/Quorafind/Obsidian-Memos"
"Soomda","By Michael Lee","313 downloads","Quickly hide your sidebars.","https://github.com/michaellee/soomda"
"Completr","By tth05","29,641 downloads","Provides advanced auto-completion functionality for LaTeX, frontmatter and standard writing.","https://github.com/tth05/obsidian-completr"
"Simple Note Review","By dartungar","4,472 downloads","Simple, customizable plugin for easy note review, resurfacing  & repetition.","https://github.com/dartungar/obsidian-simple-note-review"
"Smarter Markdown Hotkeys","By pseudometa","15,691 downloads","Hotkeys that select words and lines in a smart way before applying markup. Multiple cursors are supported as well.","https://github.com/chrisgrieser/obsidian-smarter-md-hotkeys"
"Image Toolkit","By sissilab","75,829 downloads","When you click an image, it will be displayed in a popup layer and you can view, drag, zoom, rotate the image.","https://github.com/sissilab/obsidian-image-toolkit"
"Dynamic Embed","By Ivaylo Dimitrov Dabravin","2,051 downloads","Embed snippets, templates and any linkable by delegating the current scope to the embedded file, treating it as content instead of a reference.","https://github.com/dabravin/obsidian-dynamic-embed"
"Canvas Presentation","By Boninall","3,939 downloads","Helps you display cards based on sequence.","https://github.com/Quorafind/Obsidian-Canvas-Presentation"
"Markdown Tree","By carvah","378 downloads","Create a beautiful and intuitive directory tree using Markdown-oriented code style using tabs, spaces and enters.","https://github.com/carvah/markdown-tree-plugin"
"BPMN Plugin","By joleaf","1,373 downloads","Enables viewing BPMN diagrams using bpmn-js.","https://github.com/joleaf/obsidian-bpmn-plugin"
"Memorization","By Joseph Cochran","233 downloads","Generates study index notes using a spaced repetition algorithm (SM-2).","https://github.com/nwindian/Memorization-Plugin"
"Task Collector (TC)","By ebullient","12,209 downloads","Change task status and collect tasks within a document using hotkeys and context menus.","https://github.com/ebullient/obsidian-task-collector"
"Note Folder Autorename","By PJ Eby","7,335 downloads","Turn notes into folders and automaticaly move/rename their folders when they move or are renamed.","https://github.com/pjeby/note-folder-autorename"
"Completed Area","By Daha","3,838 downloads","Move completed to-do items to a separate completed area.","https://github.com/DahaWong/obsidian-completed-area"
"Random Structural Diary","By Timur Sidoriuk","2,651 downloads","Pick random questions from a prepared question list. It allows you answer on different questions each time.","https://github.com/ShockThunder/RandomStructuralDiary"
"Close Similar Tabs","By 1C0D","9,175 downloads","Avoid to have a file opened several times in your tabs. (+setting: by window or everywhere).","https://github.com/1C0D/Obsidian-Close-Similar-Tabs"
"Quick Links","By Ian Fisher","216 downloads","Create quick link shortcuts to Wikipedia and other sites","https://github.com/iafisher/obsidian-quick-links"
"Podcast Note","By Marc Julian Schwarz","4,462 downloads","Podcast Note lets you automatically add podcast information to your notes.","https://github.com/marcjulianschwarz/obsidian-podcast-note"
"Paste URL into selection","By Denis Olehov","152,207 downloads","Paste URL into selected text.","https://github.com/denolehov/obsidian-url-into-selection"
"Excel to Markdown Table","By Ganessh Kumar R P","64,707 downloads","Paste data from Microsoft Excel, Google Sheets, Apple Numbers and LibreOffice Calc as Markdown tables in Obsidian editor.","https://github.com/ganesshkumar/obsidian-excel-to-markdown-table"
"Focus and Highlight","By BO YI TSAI","2,687 downloads","Highlight and focus on the currently selected heading.","https://github.com/nagi1999a/obsidian-focus-plugin"
"Self-hosted LiveSync","By vorotamoroz","68,220 downloads","Community implementation of self-hosted livesync. Reflect your vault changes to some other devices immediately. Please make sure to disable other synchronize solutions to avoid content corruption or duplication.","https://github.com/vrtmrz/obsidian-livesync"
"Custom window title","By Joost Plattel","9,293 downloads","Shows the current open note in the window title.","https://github.com/jplattel/open-note-to-window-title"
"Link Range","By Ryan Mellmer","817 downloads","This Obsidian plugin brings ranged wiki-link support to Obsidian.","https://github.com/rmellmer/obsidian-link-range"
"Open vault in VS Code","By NomarCub","12,111 downloads","Ribbon button and command to open vault as a Visual Studio Code workspace.","https://github.com/NomarCub/obsidian-open-vscode"
"koncham workspace","By mano","1,311 downloads","Obsidian workspace management.","https://github.com/manogna4/obsidian-koncham-workspace"
"Ultimate Todoist Sync","By HeroBlackInk","2,189 downloads","This is the best Todoist task synchronization plugin for Obsidian so far.","https://github.com/HeroBlackInk/ultimate-todoist-sync-for-obsidian"
"Ledger","By Tony Grosinger","10,739 downloads","Plain text accounting.","https://github.com/tgrosinger/ledger-obsidian"
"Emoji Titler","By Hyeonseo Nam","901 downloads","Easily insert an emoji in the title using a keyboard shortcut.","https://github.com/HyeonseoNam/obsidian-emoji-titler"
"Relativenumber (relative line numbers)","By Rob Stevenson","922 downloads","Displays relative line numbers in the editor's gutter.","https://github.com/thisdotrob/obsidian-relativenumber-plugin"
"Wallabag","By Hüseyin Zengin","47 downloads","Sync your Wallabag articles.","https://github.com/huseyz/obsidian-wallabag"
"Relation Pane","By mottox2","1,268 downloads","Displays a panel that summarize relations between notes.","https://github.com/mottox2/obsidian-relation-pane"
"Chat Stream","By Ryan P Smith","748 downloads","Create branching GPT chats using canvas notes.","https://github.com/rpggio/obsidian-chat-stream"
"Nomnoml Diagram","By Daeik Kim","3,614 downloads","Draw nomnoml diagrams in Obsidian notes.","https://github.com/Daeik/obsidian-nomnoml-diagram"
"Text Generator","By Noureddine Haouari","129,142 downloads","Text generator is a handy plugin that helps you generate text content using GPT-3 (OpenAI).","https://github.com/nhaouari/obsidian-textgenerator-plugin"
"Image OCR","By kaffarell","951 downloads","Runs ocr on images and pastes result in description.","https://github.com/kaffarell/obsidian-tesseract-ocr"
"Custom File Explorer sorting","By SebastianMC","17,426 downloads","Allows for manual and automatic, config-driven reordering and sorting of files and folders in File Explorer.","https://github.com/SebastianMC/obsidian-custom-sort"
"Review Notes Plugin","By tjandy98","1,054 downloads","Shows recently modified and newly created files.","https://github.com/tjandy98/obsidian-review-notes-plugin"
"Quail","By Lyric","128 downloads","Save, publish, delivery notes via Quail.ink as newsletters and blogs","https://github.com/lyricat/obsidian-quail"
"Markdown to Slack Message","By Woongshik Choi","136 downloads","Converts a markdown note to the Slack message blocks that enable you to send to your slack.","https://github.com/idreamer/markdown-to-slack-message"
"Google Tasks","By YukiGasai","5,420 downloads","Interact with your Google Tasks from inside Obsidian.","https://github.com/YukiGasai/obsidian-google-tasks"
"GTD No Next Step","By Tobias Davis","143 downloads","Adds a badge to Getting Things Done (GTD) project files with no defined next step.","https://github.com/saibotsivad/obsidian-gtd-no-next-step"
"Scrybble","By Streamsoft","1,066 downloads","Synchronize highlights from your ReMarkable tablet to Obsidian!","https://github.com/Azeirah/scrybble"
"Text Expander","By Nikita Konodyuk","7,367 downloads","Expand text shortcuts, run shell commands and Python scripts right in your editor.","https://github.com/konodyuk/obsidian-text-expander"
"Yaml Manager","By Lijyze","4,317 downloads","Keep you away from directly operating YAML frontmatter.","https://github.com/lijyze/obsidian-state-switcher"
"Tag, Word & Link Cloud","By Johannes Theiner","5,247 downloads","Show a cloud of your tags/words/links","https://github.com/joethei/obsidian-tagcloud"
"Short links","By Scott Moore","3,685 downloads","Display short internal links to files, notes, headings, and blocks.","https://github.com/scottwillmoore/obsidian-short-links"
"Local REST API","By Adam Coddington","32,995 downloads","Unlock your automation needs by interacting with your notes over a secure REST API.","https://github.com/coddingtonbear/obsidian-local-rest-api"
"Quoth","By Eric Rykwalder","2,685 downloads","More flexible embedding. Embed precise selections, inline embeds, optionally include author and title.","https://github.com/erykwalder/quoth"
"ProZen","By Moskvitin","3,280 downloads","Enter Zen mode to focus on writing. The plugin expands current tab to full screen removing everything but content.","https://github.com/cmoskvitin/obsidian-prozen"
"Journey","By Alexis Rondeau","13,862 downloads","Discover the story between your notes.","https://github.com/akaalias/obsidian-journey-plugin"
"Copy Image and URL context menu","By NomarCub","14,346 downloads","Copy Image, Copy URL and Open PDF externally context menu in reading view.","https://github.com/NomarCub/obsidian-copy-url-in-preview"
"Notion Video Embed","By lastknightcoder","850 downloads","Embed your Notion video in Obsidian.","https://github.com/LastKnightCoder/obsidian-notion-video"
"Word Splitting for Japanese in Edit Mode","By sonarAIT","1,047 downloads","A patch for Obsidian's built-in CodeMirror Editor to support Japanese word splitting.","https://github.com/sonarAIT/cm-japanese-patch"
"Settings Search","By Jeremy Valentine","47,031 downloads","Globally search settings in Obsidian.","https://github.com/javalent/settings-search"
"Image auto upload Plugin","By renmu123","51,273 downloads","Upload images from your clipboard by PicGo.","https://github.com/renmu123/obsidian-image-auto-upload-plugin"
"Colorful Note Borders","By rusi","1,821 downloads","Add customizable colorful borders to notes based on folder location or frontmatter metadata, enhancing visual organization in Obsidian.","https://github.com/rusi/obsidian-colorful-note-borders"
"Obsidian shared to Notion","By Easychris","8,916 downloads","Shares Obsidian files to Notion with the Notion API","https://github.com/EasyChris/obsidian-to-notion"
"Vextab","By Luis Guzman","544 downloads","Render guitar tablature and music notation using Vextab.","https://github.com/luigman/obsidian-vextab"
"Obsidian Anki Sync","By debanjandhar12","4,019 downloads","Make flashcards and sync them to Anki.","https://github.com/debanjandhar12/Obsidian-Anki-Sync"
"Pinboard Sync","By Mathew Spolin","733 downloads","Syncs Pinboard.in links with Daily Notes","https://github.com/Automatt/obsidian-pinboard-sync"
"Speech To Text Keyboard Helper","By mwoz123","34 downloads","As Google Speech to Text Android keyboard does not handle e.g. _new line_ command, this plugin makes available such commands via Obsidian command pallete.","https://github.com/mwoz123/speech-to-text-keyboard-helper"
"Simple CanvaSearch","By ddalexb","325 downloads","Quickly fuzzysearch notes, cards and their content and shift focus to them within the currently opened canvas.","https://github.com/ddalexb/obsidian-simple-canvasearch"
"Testing Vault","By Michael Pedersen","416 downloads","Randomized vault generator with links between notes, frontmatter, tags, orphan and leaf notes.","https://github.com/pedersen/obsidian-testing-vault"
"Note Auto Creator","By Simon T. Clement","5,253 downloads","Automatically create notes when links are created to them.","https://github.com/SimonTC/obsidian-note-autocreation"
"Crumbs","By Tony Grosinger","1,081 downloads","Breadcrumb navigation.","https://github.com/tgrosinger/crumbs-obsidian"
"TinyPNG Image","By ckt1031","219 downloads","Compress images using TinyPNG to save your storage.","https://github.com/ckt1031/obsidian-tinypng-plugin"
"EmoTagsTitler","By Cyfine","233 downloads","Add the emojis contained in the tags to the beginning of the note title.","https://github.com/Cyfine/EmoTagsTitler"
"Key Sequence Shortcut","By anselmwang","1,231 downloads","Execute Obsidian commands with short key sequences. For example, 'tp' for 'Toggle Preview' and 'tb' for 'Toggle Sidebar'. Easier to remember.","https://github.com/anselmwang/obsidian-key-sequence-shortcut"
"Emotion Picker","By dartungar","2,633 downloads","Choose an emotion from a list to insert into a note.","https://github.com/dartungar/obsidian-emotion-picker"
"Lumberjack 🪓 🪵","By ryanjamurphy","3,624 downloads","Log your thoughts! Lumberjack adds URL commands to help you axe inefficiency and get right to writing.","https://github.com/ryanjamurphy/lumberjack-obsidian"
"Meld Build","By meld-cp","577 downloads","Write and execute (sandboxed) JavaScript to render templates, query DataView and create dynamic notes.","https://github.com/meld-cp/obsidian-build"
"Icon Shortcodes","By AidenLx","25,641 downloads","Insert emoji and custom icons with shortcodes.","https://github.com/aidenlx/obsidian-icon-shortcodes"
"Better Reading Mode","By Boninall","3,098 downloads","Enable bionic reading mode in Live Preview mode of Obsidian.","https://github.com/Quorafind/Obsidian-Better-Reading-Mode"
"Duplicate Line","By 1C0D","1,605 downloads","To duplicate a line.","https://github.com/1C0D/duplicate-line-obsidian"
"Tag Summary","By J.D Gauchat","4,390 downloads","Creates summaries with paragraphs or blocks of text that share the same tag(s).","https://github.com/macrojd/tag-summary"
"Hider","By @kepano","121,199 downloads","Hide UI elements such as tooltips, status, titlebar and more.","https://github.com/kepano/obsidian-hider"
"Harpoon","By mask(developermask)","33 downloads","Use shortcuts to manage and navigate your top four frequently-used files in Obsidian.","https://github.com/rodrez/obsidian-harpoon"
"Todoist Text","By Wes Moncrief","4,413 downloads","Integrate your Todoist tasks with Markdown checkboxes.","https://github.com/wesmoncrief/obsidian-todoist-text"
"Flashcards LLM","By Marco Pampaloni","741 downloads","Use Large Language Models (such as ChatGPT) to automatically generate flashcards from obsidian notes","https://github.com/crybot/obsidian-flashcards-llm"
"Floating Highlights","By Karthik S Raju","593 downloads","Enhanced highlights for Obsidian.","https://github.com/KarthikRaju391/obsidian-float"
"Icon Folder","By FlorianWoelki","276,025 downloads","Add icons to your folders.","https://github.com/FlorianWoelki/obsidian-icon-folder"
"Status Bar Pomodoro Timer","By kzhovn","23,710 downloads","Adds a pomodoro timer to your status bar.","https://github.com/kzhovn/statusbar-pomo-obsidian"
"Hidden Folder","By ptrsvltns","1,525 downloads","Hidden Folder.","https://github.com/ptrsvltns/hidden-folder-obsidian"
"Advanced URI","By Vinzent","182,162 downloads","Control everything in Obsidian with URI.","https://github.com/Vinzent03/obsidian-advanced-uri"
