198,Pane Relief,By PJ Eby,64669,"Per-pane history, hotkeys for pane movement + navigation, and more.",https://github.com/pjeby/pane-relief
199,Vocabulary View,By nnshi-s,1922,Write down some words with their explanations and preview them in a vocabulary test style.,https://github.com/nnshi-s/obsidian-vocabulary-view-plugin
200,Plotly,By Dmitriy Shulha,2472,Embed Plotly charts in your notes.,https://github.com/Dmytro-Shulha/obsidian-plotly
201,Account Linker,By qwegat,491,Plugin for describing external service accounts in the frontmatter.,https://github.com/qwegat/Obsidian-Account-Linker
202,Fountain,By darakah,2334,Fountain support for Obsidian.,https://github.com/Darakah/obsidian-fountain
203,Another Quick Switcher,By tadashi-aikawa,33122,Another choice of Quick switcher.,https://github.com/tadashi-aikawa/obsidian-another-quick-switcher
204,Zen,By Maxymillion,592,A focus mode Obsidian plugin.,https://github.com/Maxymillion/zen
205,Awesome Image,By AwesomeDog,1277,One-stop solution for image management and viewing.,https://github.com/AwesomeDog/obsidian-awesome-image
206,Crossbow,By shoedler,898,Find backlinks in your notes,https://github.com/shoedler/crossbow
207,Spaced Repetition,By Stephen Mwangi,99281,Fight the forgetting curve by reviewing flashcards & entire notes.,https://github.com/st3v3nmw/obsidian-spaced-repetition
208,MathLive,By Dan Zilberman,117,Faster and more intuitive MathJax editing using MathLive.,https://github.com/danzilberdan/obsidian-mathlive
209,GitHub Issue Augmentation,By samprintz,79,Augments GitHub issue IDs,https://github.com/samprintz/obsidian-issue-augmentation-plugin
210,Better Reading Mode,By Boninall,2058,Enable bionic reading mode in Live Preview mode of Obsidian.,https://github.com/Quorafind/Obsidian-Better-Reading-Mode
211,Maximise Active Pane,By death_au,9700,Fills the workspace with the active pane.,https://github.com/deathau/maximise-active-pane-obsidian
212,盘古 PanGu,By Natumsol,12462,"A small plugin aims to add space between Chinese Characters and English Alphabet, and it is a boon for typographically compulsive people.",https://github.com/Natumsol/obsidian-pangu
213,Hide Sidebars on Window Resize,"By NomarCub, Michael Hanson",4801,Automatically hides the sidebars when your window is narrow on window resize,https://github.com/NomarCub/obsidian-hide-sidebars-on-window-resize
214,Obsidian42 - Jump-to-Date,By TfTHacker,7034,Popup calendar for quickly navigating dates.,https://github.com/TfTHacker/obsidian42-jump-to-date
215,Show Diff,By Ivan Lednev,142,Render Git diffs in Obsidian files,https://github.com/ivan-lednev/obsidian-automatic-changelog
216,Ultimate Todoist Sync,By HeroBlackInk,574,This is the best Todoist task synchronization plugin for Obsidian so far.,https://github.com/HeroBlackInk/ultimate-todoist-sync-for-obsidian
217,Style Settings,By mgmeyers,408516,"Offers controls for adjusting theme, plugin, and snippet CSS variables.",https://github.com/mgmeyers/obsidian-style-settings
218,The One Ring 2E Statblocks,By Michael Hansen,188,Render NPC and adversary statblocks for The One Ring 2E roleplaying game.,https://github.com/modality/obsidian-the-one-ring-2e-statblocks
219,Checklist Reset,By Luke Hansford,893,Adds a command to reset the state of any checklists in a document.,https://github.com/lhansford/obsidian-checklist-reset
220,Image Layouts,By Luke Chadwick,1844,Add beautiful image layouts to your notes.,https://github.com/vertis/obsidian-image-layouts
221,Custom State for Task List,By Okami Wong,351,Add custom states to task list items.,https://github.com/OkamiWong/obsidian-custom-state-for-task-list
222,Chessboard Viewer,By Davide Aversa,1436,Render chess positions diagrams in note preview.,https://github.com/THeK3nger/obsidian-chessboard
223,Settings Search,By Jeremy Valentine,31727,Globally search settings in Obsidian.,https://github.com/javalent/settings-search
224,Breadcrumbs,By SkepticMystic,76418,Visualise the hierarchy of your vault using a breadcrumb trail or matrix view.,https://github.com/SkepticMystic/breadcrumbs
225,Dialogue,By Jakub Holub,5682,Create dialogues in Markdown.,https://github.com/holubj/obsidian-dialogue-plugin
226,BPMN Plugin,By joleaf,882,Enables viewing BPMN diagrams using bpmn-js.,https://github.com/joleaf/obsidian-bpmn-plugin
227,Enhancing Mindmap,By Mark,91957,This is a enhancing mindmap plugin for Obsidian. You can edit mindmap on Markdown.,https://github.com/MarkMindCkm/obsidian-enhancing-mindmap
228,Micro.publish,By Otavio Cordeiro,606,Publish notes to Micro.blog.,https://github.com/otaviocc/obsidian-microblog
229,Readwise Official,By Readwise,65655,Official Readwise <-> Obsidian integration.,https://github.com/readwiseio/obsidian-readwise
230,Tray,By dragonwocky,1026,Run Obsidian from the system tray for customisable window management & global quick notes.,https://github.com/dragonwocky/obsidian-tray
231,Bellboy,By Shaked Lokits,349,Opinionated file structure manager.,https://github.com/shakedlokits/obsidian-bellboy
232,Editing Toolbar,By Cuman,72880,"The Editing Toolbar is modified from cmenu, which provides more powerful customization settings and has many built-in editing commands to be a MS Word-like toolbar editing experience.",https://github.com/cumany/obsidian-editing-toolbar
233,Natural Language Syntax Highlighting,By artisticat,1311,"Highlight adjectives, nouns, adverbs, verbs, and conjunctions in the editor.",https://github.com/artisticat1/nl-syntax-highlighting
234,Phone to Roam to Obsidian,By Dylan Garrett,459,An Obsidian client for phonetoroam.com,https://github.com/dgarrett/phone-to-roam-to-obsidian
235,Obsidian title index,By renmu123,2808,A simple plugin to add serial numbers to your Markdown title.,https://github.com/renmu123/obsidian-markdown-index
236,No Empty Windows,By L Fahn-Lai,138,Closes Obsidian window with cmd+W on Mac when the last tab is closed.,https://github.com/popscallion/obsidian-no-empty-windows
237,URI Commands,By kzhovn,1690,Execute URIs from the Obsidian command palette.,https://github.com/kzhovn/uri-commands-obsidian
238,Icons,By Camillo Visini,50456,Add icons to your notes.,https://github.com/visini/obsidian-icons-plugin
239,Second Window,By Jeremy Valentine,6909,Allow images & notes to be viewed in new Obsidian windows.,https://github.com/javalent/second-window
240,Jira Issue,By marc0l92,10593,Track the progress of Atlassian Jira issues from your Obsidian notes.,https://github.com/marc0l92/obsidian-jira-issue
241,Update time on edit,By beaussan,8295,Keep frontmatter in sync with the last edit time.,https://github.com/beaussan/update-time-on-edit-obsidian
242,Contextual Typography,By mgmeyers,53414,"Adds a data-tag-name attribute to all top-level divs in preview mode containing the child's tag name, allowing contextual typography styling.",https://github.com/mgmeyers/obsidian-contextual-typography
243,Chesser,By SilentVoid,3961,A chess game viewer/editor.,https://github.com/SilentVoid13/Chesser
244,JavaScript Init,By ryanpcmcquen,1340,"Run JavaScript when Obsidian loads, or any other time.",https://github.com/ryanpcmcquen/obsidian-javascript-init
245,Minimal Theme Settings,By @kepano,379475,Control the colors and fonts in Minimal Theme.,https://github.com/kepano/obsidian-minimal-settings
246,Text Extractor,By Simon Cambier,25238,A (companion) plugin to facilitate the extraction of text from images (OCR) and PDFs.,https://github.com/scambier/obsidian-text-extractor
247,Image Toolkit,By sissilab,65111,"When you click an image, it will be displayed in a popup layer and you can view, drag, zoom, rotate the image.",https://github.com/sissilab/obsidian-image-toolkit
248,Scroll Speed,By Florian Ludewig,1042,Change the scroll speed in Obsidian notes.,https://github.com/flolu/obsidian-scroll-speed
249,Itinerary,By Adam Coddington,3198,Make planning your trip or event easier by rendering a calendar from event information found in your notes.,https://github.com/coddingtonbear/obsidian-itinerary
250,Better Inline Fields,By David Sarman,3621,Enhances Dataview style inline fields.,https://github.com/dsarman/better-inline-fields
251,Force note view mode,By Benny Wydooghe,11359,Force the view mode for a note by using frontmatter: YAML block with 'obsidian_ui_mode' as key.,https://github.com/bwydoogh/obsidian-force-view-mode-of-note
252,Obsidian42 - BRAT,By TfTHacker,66804,Easily install a beta version of a plugin for testing.,https://github.com/TfTHacker/obsidian42-brat
253,Table to CSV Exporter,By Stefan Wolfrum,2655,Export tables from a pane in reading mode into CSV files.,https://github.com/metawops/obsidian-table-to-csv-export
254,Stopwatch Plugin,By Tokuhiro Matsuno,1907,Display stopwatch on Obsidian!,https://github.com/tokuhirom/obsidian-stopwatch-plugin
255,File Chucker,By Ken Lim,408,"Quickly move a file to a new or existing folder, then open the next file.",https://github.com/kenlim/file-chucker-plugin
256,Global Search and Replace,By Mahmoud Fawzy Khalil,2741,Search and replace in all vault files.,https://github.com/MahmoudFawzyKhalil/obsidian-global-search-and-replace
257,Regex Pipeline,By No3371,6652,Set up custom regex rules to automatically format notes.,https://github.com/No3371/obsidian-regex-pipeline
258,Extract PDF Annotations,By Franz Achermann,4966,Extract PDF annotations (notes and highlights) and sort them by topic.,https://github.com/munach/obsidian-extract-pdf-annotations
259,Obsidian Charts,By phibr0,88745,Easily create Charts within Obsidian!,https://github.com/phibr0/obsidian-charts
260,Control Characters,By Johannes Theiner,1420,Show control/non-printing characters in edit mode.,https://github.com/joethei/obsidian-control-characters
261,Boost Link Suggestions,By Jacob Levernier,312,Alternative inline link suggester that orders results by link count and manual boosts.,https://github.com/jglev/obsidian-boost-link-suggestions
262,Contacts,By vbeskrovnov,1068,Manage and organize contacts.,https://github.com/vbeskrovnov/obsidian-contacts
263,Create Note in Folder,By Mara-Li,383,Add commands to create a note in a specific folder.,https://github.com/Lisandra-dev/obsidian-create-note-in-folder
264,Hotkeys for templates,By Vinzent,13937,Add commands to insert specific templates with a hotkey.,https://github.com/Vinzent03/obsidian-hotkeys-for-templates
265,Whisper,By Nik Danilov,1691,Speech-to-text using OpenAI Whisper.,https://github.com/nikdanilov/whisper-obsidian-plugin
266,Folder Note,By xpgo,56630,Add description note to a folder.,https://github.com/xpgo/obsidian-folder-note-plugin
267,Old Note Admonitor,By tadashi-aikawa,612,Show warnings if the note has not been updated for over specific days.,https://github.com/tadashi-aikawa/obsidian-old-note-admonitor
268,Floating TOC,By curtgrimes modified by Cuman,14187,This is a floating directory plugin that hovers a widget of the current directory on the notes page.,https://github.com/cumany/obsidian-floating-toc-plugin
269,Things Logbook,By Liam Cain,3968,Sync your Things logbook with your daily notes.,https://github.com/liamcain/obsidian-things-logbook
270,Remember File State,By Ludovic Chabant,2492,"Remembers cursor position, selection, scrolling, and more for each file.",https://github.com/ludovicchabant/obsidian-remember-file-state
271,"Version History Diff (Sync, File Recovery & Git)",By kometenstaub,7794,Diff the version history of the core Sync and File Recovery plugins and Git for the active file. Adds a command to open the core Sync version history as well.,https://github.com/kometenstaub/obsidian-version-history-diff
272,User Plugins,By mnowotnik,709,Use js files or snippets to code your own quick and dirty plugins.,https://github.com/mnowotnik/obsidian-user-plugins
273,Publish and GitHub URL,By kometenstaub,1811,Copy or open the URL of the corresponding note on your Publish site. You can also open its Git commit history on GitHub.,https://github.com/kometenstaub/copy-publish-url
274,Obsidian Enhancing Export,By YISH,50186,"A enhancing export plugin base on pandoc for Obsidian. It allows to export to formats like HTML, DOCX, ePub and PDF or Hugo.",https://github.com/mokeyish/obsidian-enhancing-export
275,Find orphaned files and broken links,By Vinzent,96960,Find files that are not linked anywhere and would otherwise be lost in your vault. In other words: files with no backlinks.,https://github.com/Vinzent03/find-unlinked-files
276,Auto pair chinese symbol,By renmu123,5374,Auto-pair Chinese symbols.,https://github.com/renmu123/obsidian-auto-pair-chinese-symbol
277,Text expand,By MrJackphil,18459,Search and paste/transclude links to found files.,https://github.com/mrjackphil/obsidian-text-expand
278,Advanced Cursors,By SkepticMystic,7080,Use multiple cursors even more powerfully.,https://github.com/SkepticMystic/advanced-cursors
279,Digital Garden,By Ole Eskild Steensen,13346,Publish your notes to a digital garden for others to enjoy.,https://github.com/oleeskild/obsidian-digital-garden
280,Obsidian GoLinks,By David Brownman (@xavdid),425,Render go/links as clickable links.,https://github.com/xavdid/obsidian-golinks
281,Toggle Meta Yaml,By hua,2857,Toggle metadata YAML.,https://github.com/hua03/obsidian-toggle-meta-yaml-plugin
282,Obsidian Git,"By Vinzent, (Denis Olehov)",460413,Backup your vault with Git,https://github.com/denolehov/obsidian-git
283,Yaml Manager,By Lijyze,3536,Keep you away from directly operating YAML frontmatter.,https://github.com/lijyze/obsidian-state-switcher
284,Script Launcher,By Alessandro Ruggiero,3544,Launch scripts from the Obsidian app. You can add scripts shortcuts on your bottom bar and launch them with just one click!,https://github.com/AlessandroRuggiero/script-launcher
285,macOS Keyboard Navigation,By ryanjamurphy,3137,Enables alt+↑ and alt+↓ keyboard navigation in Obsidian.,https://github.com/ryanjamurphy/macOS-keyboard-nav-obsidian
286,Filename Emoji Remover,By Yüksel Tolun,402,Automatically remove emojis from filenames. Main purpose is to get rid of Dropbox sync issues for Readwise imported content.,https://github.com/YTolun/obsidian-filename-emoji-remover
287,Self-hosted LiveSync,By vorotamoroz,52632,Community implementation of self-hosted livesync. Reflect your vault changes to some other devices immediately. Please make sure to disable other synchronize solutions to avoid content corruption or duplication.,https://github.com/vrtmrz/obsidian-livesync
288,Kobo Highlights Importer,By Kevin Hellemun & Flavio Cordari,1648,Import highlights from Kobo devices.,https://github.com/OGKevin/obsidian-kobo-highlights-import
289,Better PDF Plugin,By MSzturc,33721,"Insert, scale, rotate and cut-out PDF pages into your notes.",https://github.com/MSzturc/obsidian-better-pdf-plugin
290,Completr,By tth05,24990,"Provides advanced auto-completion functionality for LaTeX, frontmatter and standard writing.",https://github.com/tth05/obsidian-completr
291,Pseudocode,By Yaotian Liu,820,Helps render LaTeX-style pseudocode inside a code block.,https://github.com/ytliu74/obsidian-pseudocode
292,css snippets,By Daniel Brandenburg,6374,Load and manage CSS snippets.,https://github.com/jdbrice/obsidian-css-snippets
293,List Modified,By Francis Kafieh,3465,Link all modified files meeting certain criteria to a daily note.,https://github.com/franciskafieh/obsidian-list-modified
294,DMN Eval,By joleaf,98,Enables evaluating/executing DMNs.,https://github.com/joleaf/obsidian-dmn-eval-plugin
295,List Callouts,By mgmeyers,15543,Create simple callouts in lists.,https://github.com/mgmeyers/obsidian-list-callouts
296,Dictionary,By phibr0,112369,A multilingual dictionary for Obsidian.,https://github.com/phibr0/obsidian-dictionary
297,QuickShare,By Maxime Cannoodt (@mcndt),7556,Securely share your Obsidian notes with one click. Notes are end-to-end encrypted. No API keys or configuration required.,https://github.com/mcndt/obsidian-quickshare
298,Easy toggle sidebars,By 1C0D,1089,toggle both sidebars (double middle mouse click or own shortcut) or each sidebar clicking middle mouse button and moving mouse towards the corresponding sidebar.,https://github.com/1C0D/obsidian-easy-toggle-sidebars
299,Footlinks,By Daha,6750,Extracts URLs from main text to footer.,https://github.com/DahaWong/obsidian-footlinks
300,Notion-Like Tables,By Trey Wallis,82273,Create Markdown tables using an interface similar to that found in Notion.,https://github.com/trey-wallis/obsidian-notion-like-tables
301,Text Progress Bar,By Michael Adams,709,Display low-fi text progress bars in your notes.,https://github.com/michaeladams/obsidian-text-progress-bar
302,Wikipedia,By Jonathan Miller,8284,Get the first section of Wikipedia for a note title or search term.,https://github.com/jmilldotdev/obsidian-wikipedia
303,Paste image rename,By Reorx,16989,"Rename image after pasting, support name pattern and auto renaming.",https://github.com/reorx/obsidian-paste-image-rename
304,Lumberjack 🪓 🪵,By ryanjamurphy,3146,Log your thoughts! Lumberjack adds URL commands to help you axe inefficiency and get right to writing.,https://github.com/ryanjamurphy/lumberjack-obsidian
305,Auto Hide Cursor,By Mo Ismat,33,Hides the cursor when scrolling and shows it again when moving the mouse.,https://github.com/moismat/obsidian-auto-hide-cursor
306,Clear Unused Images,By Ozan Tellioglu,34648,Clear the images that you are not using anymore in your Markdown notes to save space.,https://github.com/ozntel/oz-clear-unused-images-obsidian
307,echarts,By windily-cloud && Cuman,1585,Render echarts in Obsidian,https://github.com/cumany/obsidian-echarts
308,Editor Commands Remap,By cactus5,714,Map hotkeys to editor commands.,https://github.com/c4ctus5/editor-commands-remap
309,Emoji Titler,By Hyeonseo Nam,490,Easily insert an emoji in the title using a keyboard shortcut.,https://github.com/HyeonseoNam/obsidian-emoji-titler
310,Meta Bind Plugin,By Moritz Jung,4026,Create input fields inside your notes and bind them to metadata fields.,https://github.com/mProjectsCode/obsidian-meta-bind-plugin
311,Generic Initiative Tracker,By Beau Shinkle,1351,TTRPG Generic Initiative Tracker.,https://github.com/beaushinkle/obsidian-generic-initiative-tracker
312,Discordian Theme,By @radekkozak,7572,Fine-grained control of Discordian Theme.,https://github.com/radekkozak/discordian-plugin
313,Podcast Note,By Marc Julian Schwarz,4124,Podcast Note lets you automatically add podcast information to your notes.,https://github.com/marcjulianschwarz/obsidian-podcast-note
314,Image OCR,By kaffarell,383,Runs ocr on images and pastes result in description.,https://github.com/kaffarell/obsidian-tesseract-ocr
315,Habitica Sync,By Leoh and Ran,2221,Helps integrate Habitica user tasks and stats into Obsidian.,https://github.com/SuperChamp234/habitica-sync
316,Mood Tracker,By dartungar,183,Track your moods & emotions easily. Visualize tracked history and browse the past entries.,https://github.com/dartungar/obsidian-mood-tracker
317,Vimrc Support,By esm,45765,Auto-load a startup file with Obsidian Vim commands.,https://github.com/esm7/obsidian-vimrc-support
318,Advanced Paste,By kxxt,1729,Provides advanced paste commands and enables you to create custom transforms for pasting.,https://github.com/kxxt/obsidian-advanced-paste
319,Metacopy & URL,By Mara-Li,1438,Copy the value of a frontmatter key and allows you to create link from it using various settings.,https://github.com/Lisandra-dev/obsidian-metacopy
320,Sigma,By monesga,595,Enable using Obsidian notes as calculation sheets.,https://github.com/monesga/obsidian-sigma
321,Reference Map,By Anoop K. Chandran,2781,Reference and citation map for literature review and discovery.,https://github.com/anoopkcn/obsidian-reference-map
322,Limelight,By Scott Mikula,1650,Spotlight your active pane.,https://github.com/smikula/obsidian-limelight
323,Timeline,By George Butco,16380,Build great timelines,https://github.com/George-debug/obsidian-timeline
324,Markdown Attributes,By Jeremy Valentine,6195,Add Markdown attributes to elements in Obsidian.,https://github.com/javalent/markdown-attributes
325,Timelines,By darakah,42625,Create a timeline view of all notes with the specified combination of tags.,https://github.com/Darakah/obsidian-timelines
326,Obsidian Chess,By pmorim,668,All you need to create your chess-related notes.,https://github.com/pmorim/obsidian-chess
327,Show Current File Path,By Ravi Mashru,17545,Show the full path of the currently open file in the status bar.,https://github.com/ravimashru/obsidian-show-file-path
328,GPT Assistant,By M7mdisk,827,Use a GPT-3 based model on your notes and get personalized answers from your knowledge base.,https://github.com/M7mdisk/obsidian-gpt
329,Contextual Comments,By 1C0D,363,General comments or langage related (in code blocks) + 2 commands trim end lines (all doc/code blocks).,https://github.com/1C0D/Obsidian-Contextual-Comments
330,JSONifier,By Kjell Connelly,1165,JSON.stringify() or JSON.parse() highlighted text and copy to clipboard.,https://github.com/KjellConnelly/obsidian-jsonifier
331,Group Snippets,By Mara-Li,935,Create folder of snippets to activate them in one click!,https://github.com/Lisandra-dev/obsidian-group-snippets
332,Obsidian Clipper,By John Christopher,6080,Helps you capture highlights from the web.,https://github.com/jgchristopher/obsidian-clipper
333,DeepL,By Till Friebe,2423,Translate selected text into more than 25 languages with DeepL.,https://github.com/friebetill/obsidian-deepl
334,Duplicate Line,By 1C0D,972,To duplicate a line.,https://github.com/1C0D/duplicate-line-obsidian
335,Media Extended,By AidenLx,63669,Improve media (video/audio) playing in Obsidian.,https://github.com/aidenlx/media-extended
336,Squiggle,By Jesse Hoogland,283,Probabilistic estimation with Squiggle in your notes.,https://github.com/jqhoogland/obsidian-squiggle
337,Shell commands,By Jarkko Linnanvirta,20527,"Define system commands that you want to execute via command palette, hotkeys, URI links or automated events. E.g. open external applications or perform automated file modifications.",https://github.com/Taitava/obsidian-shellcommands
338,Packrat,By Thomas Herden,759,Manage completed instances of recurring tasks that were created and completed using the Tasks plugin.,https://github.com/therden/packrat
339,Pandoc Reference List,By mgmeyers,6920,Displays a formatted reference in the sidebar for each pandoc citekey present in the current document.,https://github.com/mgmeyers/obsidian-pandoc-reference-list
340,Testing Vault,By Michael Pedersen,155,"Randomized vault generator with links between notes, frontmatter, tags, orphan and leaf notes.",https://github.com/pedersen/obsidian-testing-vault
341,PDF Highlights,By Alexis Rondeau,57445,"Extract highlights, underlines and annotations from your PDFs into Obsidian.",https://github.com/akaalias/obsidian-extract-pdf-highlights
342,Heatmap Calendar,By Richard Slettevoll,29872,"Activity Year Overview for DataviewJS, Github style – Track Goals, Progress, Habits, Tasks, Exercise, Finances, ""Dont Break the Chain"" etc.",https://github.com/Richardsl/heatmap-calendar-obsidian
343,Luhman,By Dylan Elliott,6065,Commands for handling a zettelkasten with Luhman-style IDs as filenames.,https://github.com/Dyldog/luhman-obsidian-plugin
344,Scrybble,By Streamsoft,556,Synchronize highlights from your ReMarkable tablet to Obsidian!,https://github.com/Azeirah/scrybble
345,Symbols Prettifier,By Florian Woelki,2300,"Prettify the symbols with actual symbols you commonly type, like arrows.",https://github.com/FlorianWoelki/obsidian-symbols-prettifier
346,Note Content Pusher,By Henry Gustafson,400,Plugin to add (prepend or append) specified content to a note (existing or new) without opening another pane.,https://github.com/lizard-heart/obsidian-note-content-pusher
347,Add links to current note,By MrJackphil,6027,Adds a command to add a link to the current note at the bottom of selected notes.,https://github.com/mrjackphil/obsidian-crosslink-between-notes
348,System Dark Mode,By @kepano,14239,Automatically use the operating system's setting to switch between light and dark mode.,https://github.com/kepano/obsidian-system-dark-mode
349,Tabout,By phibr0,2735,Easily 'tab out' of Links or other Markdown Formatting Characters.,https://github.com/phibr0/obsidian-tabout
350,Prettier Format,By Andrew Lisowski,6397,Opinionated formatting for your notes.,https://github.com/hipstersmoothie/obsidian-plugin-prettier
351,Customizable Menu,By kzhovn,13905,Add any command to Obsidian's right-click menu.,https://github.com/kzhovn/obsidian-customizable-menu
352,Home tab,By Renso,4608,A browser-like search tab for your local files.,https://github.com/olrenso/obsidian-home-tab
353,Graph Analysis,By SkepticMystic & Emile,25434,Find hidden connections between notes in your vault using cool graph algorithms.,https://github.com/SkepticMystic/graph-analysis
354,Better Command Palette,By Alex Bieg,12703,A command palette that does all of the things you want it to do.,https://github.com/AlexBieg/obsidian-better-command-palette
355,Lapel,By Liam Cain,8129,Show the heading levels in the gutter of the editor.,https://github.com/liamcain/obsidian-lapel
356,Obsimian Exporter,By Oliver Lade,285,Obsidian simulation framework for testing Obsidian plugins.,https://github.com/motif-software/obsimian
357,Toggle Case,By automattech,774,Set a hotkey to toggle between `lowercase` `UPPERCASE` and `Title Case`.,https://github.com/MatthewAlner/obsidian-toggle-case
358,File Forgetting Curve,By ptrsvltns,232,File Forgetting Curve.,https://github.com/ptrsvltns/file-forgetting-curve-obsidian
359,Review,By ryanjamurphy,37337,"Add a link to the current note to a daily note on a future date (or a past date, you time traveller).",https://github.com/ryanjamurphy/review-obsidian
360,Enhance Copy Note,By kzhovn,1519,Augments native Obsidian note copying.,https://github.com/kzhovn/copy-command-obsidian
361,Relation Pane,By mottox2,952,Displays a panel that summarize relations between notes.,https://github.com/mottox2/obsidian-relation-pane
362,Get Stock Information,By Mike Jongbloet,170,Takes a stock symbol and returns a callout block with the latest stock information.,https://github.com/mikejongbloet/obsidian-get-stock-information
363,Code Emitter,By YISH,3095,"Allows code blocks to be executed interactively in a sandbox like Jupyter notebooks. Supported language Rust, Kotlin, Python, JavaScript, TypeScript, etc.",https://github.com/mokeyish/obsidian-code-emitter
364,Open In New Tab,By patleeman,1698,Opens files in new tabs like a browser,https://github.com/patleeman/obsidian-open-in-new-tab
365,YouHaveBeenStaring,By Felix Almer,1352,Tells you in the status bar for how long you've been staring at your Obsidian vault. Well - at least how long your vault is open.,https://github.com/fxal/obsidian-youhavebeenstaring-plugin
366,Underline,By Benature,14322,Add underline with shortcut.,https://github.com/Benature/obsidian-underline
367,ArchiveBox,By invariant,226,ArchiveBox.io support for external Obsidian links.,https://github.com/invariant/obsidian-archivebox-plugin
368,Diagrams,By Sam Greenhalgh,38734,Create and edit Draw.io diagrams in Obsidian.,https://github.com/zapthedingbat/drawio-obsidian
369,Page Gallery,By Nathan Clark,3180,Creates an embeddable gallery based on selected page contents.,https://github.com/tokenshift/obsidian-page-gallery
370,Persistent Links,By Ivan Lednev,272,Automatically repair internal links to blocks and headings when moving them between files,https://github.com/ivan-lednev/obsidian-persistent-links
371,Obsidian markmind,By Mark,116361,"Mind map, outline and PDF annotate tool for Obsidian. (Closed Source)",https://github.com/MarkMindCkm/obsidian-markmind
372,Khoj,By Debanjum Singh Solanky,3383,"Natural, Incremental Search for your Second Brain.",https://github.com/debanjum/khoj
373,Gist,By Jun Lin,3456,Display the GitHub Gist.,https://github.com/linjunpop/obsidian-gist
374,Tracker,By pyrochlore,62286,Tracks occurrences and numbers in your notes.,https://github.com/pyrochlore/obsidian-tracker
375,Vim IM Select,By Alonelur,2356,Support auto select the apposite input method in different vim mode.,https://github.com/ALONELUR/vim-im-select-obsidian
376,Cryptsidian,By triumphantomato,4736,Encrypt all files in your Obsidian vault with a password.,https://github.com/triumphantomato/cryptsidian
377,Homepage,By mirnovov,135388,"Open a specified note, canvas, or workspace on startup, or set it for quick access later.",https://github.com/mirnovov/obsidian-homepage
378,Prominent Bookmarked Files,By Jeremy Valentine,3272,Prominently display bookmarked notes in the file explorer.,https://github.com/javalent/prominent-files
379,Kindle Highlights,By Hady Osman,54056,Sync your Kindle book highlights using your Amazon login or uploading your My Clippings file.,https://github.com/hadynz/obsidian-kindle-plugin
380,Garble Text,By kurakart,1870,"Garbling text in Obsidian turns all content in the entire app (notes, sidebar, etc) into lines so you can take screenshots without exposing sensitive data.",https://github.com/kurakart/garble-text
381,Release Timeline,By cakechaser,2319,Release timeline rendered based on notes metadata with a Dataview-like syntax.,https://github.com/cakechaser/obsidian-release-timeline
382,ini Editor,By death_au,514,Edit .ini files in Obsidian.,https://github.com/deathau/ini-obsidian
383,Inbox,By Zachatoo,506,"Show in app notification on startup if there is data to process in the ""inbox"" note.",https://github.com/Zachatoo/obsidian-inbox
384,Fleeting Notes Sync,By Matthew Wong,14612,Sync Fleeting Notes with Obsidian.,https://github.com/fleetingnotes/fleeting-notes-obsidian
385,Better MathJax,By GreasyCat,65,Provide math autocompletion and customizable snippets.,https://github.com/greasycat/BetterMathjax
386,Org Mode,By ryanpcmcquen,4242,Add Org Mode support to Obsidian.,https://github.com/ryanpcmcquen/obsidian-org-mode
387,Colorful Note Borders,By rusi,799,"Add customizable colorful borders to notes based on folder location or frontmatter metadata, enhancing visual organization in Obsidian.",https://github.com/rusi/obsidian-colorful-note-borders
388,Obsidian matrix,By Jonas Mohr,1773,Utility to easily create LaTeX matrices.,https://github.com/MohrJonas/obsidian-matrix
389,Habit Tracker,By duo,5880,Creates a simple month view for visualizing your punch records.,https://github.com/duoani/obsidian-habit-tracker
390,Auto Note Mover,By faru,15758,Auto Note Mover will automatically move the active notes to their respective folders according to the rules.,https://github.com/farux/obsidian-auto-note-mover
391,Addional Markdown suffix (.mdx/.svx).,By swissmation.com,370,Use additional files like .mdx / .svx as if they were Markdown.,https://github.com/git-no/obsidian-markdown-file-suffix
392,Crypto Lookup,By Andrew Lombardi,525,Use the Cryptonator API to pull prices for crypto in a target currency.,https://github.com/kinabalu/obsidian-crypto-lookup
393,Metronome,By Curt Grimes,724,Add interactive metronomes to your notes.,https://github.com/curtgrimes/obsidian-metronome-plugin
394,Paste Mode,By Jacob Levernier,5250,Paste content and mark block quotes at any level of indentation.,https://github.com/jglev/obsidian-paste-mode
395,Completed Area,By Daha,3414,Move completed to-do items to a separate completed area.,https://github.com/DahaWong/obsidian-completed-area
396,Screwdriver,By vorotamoroz,754,Utility to put any files in and out under your vault.,https://github.com/vrtmrz/obsidian-screwdriver
397,Local images plus,"By catalysm, aleksey-rezvov, Sergei Korneev",9265,Local Images plus plugin is a reincarnation of Obsidian-local-images which main aim was downloading images in md notes to local storage.,https://github.com/Sergei-Korneev/obsidian-local-images-plus
398,Smart Connections,By Brian Petro,28730,"Chat with your notes & find links to similar content using artificial intelligence like OpenAI Embeddings, GPT-3.5 & GPT-4.",https://github.com/brianpetro/obsidian-smart-connections
399,Select current line,By Gokul,130,Selects the current line where the cursor is placed. Press 'ESC' key to select.,https://github.com/gokulk16/select-current-line-plugin
400,Mixa,By Mixa Team,321,Publish your notes and blog posts with Mixa directly from Obsidian.,https://github.com/mixasite/obsidian-mixa
