42,Furigana,By Koppa,851,Helper plugin for furigana and <ruby>.,https://github.com/uonr/obsidian-furigana
43,Diagrams.net,By Jens M Gleditsch,7800,"Enable diagrams.net (previously draw.io) type diagrams, with the diagrams.net embedded editor.",https://github.com/jensmtg/obsidian-diagrams-net
44,Netwik,By Boris Bondarenko,693,"Union Vault. This plugin provides access to global network of notes. Anyone can create, view or edit notes. All changes will be synchronized between all participants.",https://github.com/fivol/netwik-obsidian
45,Card View Mode,By PADAone,7722,Enable to view your notes as cards.,https://github.com/yo-goto/obsidian-card-view-mode
46,Personal Assistant,By edony,698,"Streamline workflows within Obsidian, managing memos and plugins with just one command.",https://github.com/edonyzpc/personal-assistant
47,Adjacency Matrix Maker,By SkepticMystic,1787,Create an interactive adjacency matrix of your vault.,https://github.com/SkepticMystic/adjacency-matrix-maker
48,Beeminder Word Count Plugin,By Yuta Miyama,750,Post word counts directly from Obsidian md file to Beeminder.,https://github.com/kenzan100/beeminder-obsidian-word-count
49,Obsidian Columns,By Trevor Nichols,20086,Create columns in Obsidian Markdown.,https://github.com/tnichols217/obsidian-columns
50,Frontmatter Links,By Dion Tryban (Trikzon),3467,Renders links in a note's frontmatter as links.,https://github.com/Trikzon/obsidian-frontmatter-links
51,ExcaliBrain,By Zsolt Viczian,53413,"ExcaliBrain is inspired by TheBrain and Breadcrumbs. It is an interactive, structured mind-map of your Obsidian vault generated based on the folders and files in your vault by interpreting the links, Dataview fields, tags and YAML frontmatter in your Markdown files.",https://github.com/zsviczian/excalibrain
52,Floating Highlights,By Karthik S Raju,336,Enhanced highlights for Obsidian.,https://github.com/KarthikRaju391/obsidian-float
53,BBCode Convertor,By Alex Lockhart,292,Convert Markdown files to BBCode.,https://github.com/salockhart/obsidian-bbcode
54,Game Search,By calvin,225,Help insert game metadata into game notes or journals,https://github.com/CMorooney/obsidian-game-search-plugin
55,Note aliases,By Pulsovi,687,Manage aliases of notes in Obsidian.,https://github.com/pulsovi/obsidian-note-aliases
56,Imgur Plugin,By Kirill Gavrilov,15076,Uploads images from your clipboard to imgur.com and embeds uploaded image to your note.,https://github.com/gavvvr/obsidian-imgur-plugin
57,Task Collector (TC),By ebullient,9917,Change task status and collect tasks within a document using hotkeys and context menus.,https://github.com/ebullient/obsidian-task-collector
58,Full Calendar,By Davis Haupt (@davish),87581,Keep events and manage your calendar alongside all your other notes in your Obsidian vault.,https://github.com/davish/obsidian-full-calendar
59,Snippets plugin,By Pelao,1952,Execute simple scripts/snippets from Obsidian. This plugin is experimental.,https://github.com/cristianvasquez/obsidian-snippets-plugin
60,Sakana Widget,By Boninall,742,Add the Sakana! Widget to your own Obsidian!,https://github.com/Quorafind/obsidian-sakana-widget
61,x86 Assembly Flow Graphing,By icebear,141,Converts well formatted x86 assembly into appropriate flow graphs using Obsidian canvases.,https://github.com/dwolfe884/obsidian-x86-flow-graph
62,Gallery,By darakah,16547,Interactive card-like gallery display of images.,https://github.com/Darakah/obsidian-gallery
63,YTranscript,By Łukasz Strzępek,2375,Easily fetch transcription for any YouTube video.,https://github.com/lstrzepek/obsidian-yt-transcript
64,D2,By Terrastruct,2943,The official D2 plugin for Obsidian. D2 is a modern diagram scripting language that turns text to diagrams.,https://github.com/terrastruct/d2-obsidian
65,Auto Hide,By skelato1,2794,Collapse sidebars when clicking on the editor/viewer panel.,https://github.com/skelato1/obsidian-auto-hide
66,Double Colon Conceal,By Michal Srch,897,Display double colon (i.e. Dataview inline fields) as a single colon for more natural reading experience.,https://github.com/msrch/obsidian-double-colon-conceal
67,Quiet Outline,By the_tree,28615,"Make outline quiet and more powerful, including no-auto-expand, rendering heading as Markdown, and search support.",https://github.com/guopenghui/obsidian-quiet-outline
68,Word Splitting for Simplified Chinese in Edit Mode and Vim Mode,By AidenLx,23438,A patch for Obsidian's built-in CodeMirror Editor to support Simplified Chinese word splitting.,https://github.com/aidenlx/cm-chs-patch
69,Core Search Assistant,By qawatake,12663,"Enhance built-in search: keyboard interface, card preview, bigger preview",https://github.com/qawatake/obsidian-core-search-assistant-plugin
70,Zoom,By Viacheslav Slinko,63557,Zoom into heading and lists.,https://github.com/vslinko/obsidian-zoom
71,Bible Reference,By tim-hub,9041,Take Bible study notes in Obsidian easily. Automatically suggests Bible verses as references.,https://github.com/tim-hub/obsidian-bible-reference
72,Codeblock Customizer,By mugiwara,1442,"Customize your code blocks in editing, and reading mode as well.",https://github.com/mugiwara85/CodeblockCustomizer
73,Advanced Codeblock,By Lijyze,3323,Add additional features to code blocks.,https://github.com/lijyze/obsidian-advanced-codeblock
74,Tweet to Markdown,By kbravh,7625,"Save tweets as Markdown files, along with their images, polls, etc.",https://github.com/kbravh/obsidian-tweet-to-markdown
75,File Info Panel,By CattailNu,5954,"Creates a File Info view that displays the active file's date created, date modified, file size, and links to open the file in its native application and to open the file's folder.",https://github.com/CattailNu/obsidian-file-info-panel-plugin
76,"Tag, Word & Link Cloud",By Johannes Theiner,4501,Show a cloud of your tags/words/links,https://github.com/joethei/obsidian-tagcloud
77,Tidy Footnotes,By Charlie Chao,7428,Tidy your footnotes seamlessly.,https://github.com/charliecm/obsidian-tidy-footnotes
78,Heading Level Indent,By svonjoi,1658,Indenting content under headers based on their level.,https://github.com/svonjoi/obsidian-heading-level-indent
79,DB Folder,By RafaelGB,142041,Folder with the capability to store and retrieve data from a folder like database.,https://github.com/RafaelGB/obsidian-db-folder
80,ChatGPT MD,By Bram Adams,16624,A (nearly) seamless integration of ChatGPT into Obsidian.,https://github.com/bramses/chatgpt-md
81,Wikipedia Search,By StrangeGirlMurph,706,Search for Wikipedia articles and link them.,https://github.com/StrangeGirlMurph/obsidian-wikipedia-search
82,Lock Screen,By Eric Biewener,2313,Protect your vault with a lock screen.,https://github.com/ericbiewener/obsidian-lock-screen-plugin
83,Stille,By Michael Lee,11896,"Focus on your writing, a section at a time.",https://github.com/michaellee/stille
84,Text Wrapper,By smx0,332,Quickly wrap selected text with HTML tags by using a shortcut or from the command palette.,https://github.com/smx0/obs-text-wrapper
85,Youglish Plugin,By Noureddine Haouari,3813,"Use YouTube to improve your pronunciation. YouGlish plugin gives you fast, unbiased answers about how words is spoken by real people and in context.",https://github.com/nhaouari/obsidian-youglish-plugin
86,Paste URL into selection,By Denis Olehov,137592,"Paste URL ""into"" selected text.",https://github.com/denolehov/obsidian-url-into-selection
87,txt as md,By death_au,9599,Edit .txt files as Markdown in Obsidian.,https://github.com/deathau/txt-as-md-obsidian
88,Hypothes.is,By weichenw,7959,Sync your Hypothesis highlights.,https://github.com/weichenw/obsidian-hypothesis-plugin
89,Canvas Mindmap,By Boninall,9812,Make your canvas work like a mindmap.,https://github.com/Quorafind/Obsidian-Canvas-MindMap
90,text2anki-openai,By Mani Batra,182,This is an obsidian plugin that uses OpenAI to generate flashcards from text and add them to Anki.,https://github.com/manibatra/obsidian-text2anki-openai
91,Open Link With,By MamoruDS,6258,Open external link with specific browser in Obsidian.,https://github.com/MamoruDS/obsidian-open-link-with
92,Babashka,By Filipe Silva,128,Evaluate Clojure(Script) code blocks in Babashka.,https://github.com/filipesilva/obsidian-babashka
93,Prioritize,By EloiMusk,261,Prioritize your tasks and notes in Obsidian.,https://github.com/EloiMusk/obsidian-prio-plugin
94,Keyboard Analyzer,By cogscides,2095,See and analyse your keyboard hotkeys and shortcuts.,https://github.com/cogscides/obsidian-keyboard-analyzer
95,Obsidian shared to Notion,By Easychris,6844,Shares Obsidian files to Notion with the Notion API,https://github.com/EasyChris/obsidian-to-notion
96,Markdown shortcuts,By Jules Guesnon,2712,Write Markdown from shortcuts,https://github.com/JulesGuesnon/obsidian-markdown-shortcuts
97,Hotkey Helper,By PJ Eby,32919,Easily see and access any plugin's settings or hotkey assignments (and conflicts) from the Community Plugins tab,https://github.com/pjeby/hotkey-helper
98,Scroll to Top Plugin,By cloudhao1999,2204,Adds a button to scroll to the top of the current note.,https://github.com/cloudhao1999/obsidian-scroll-to-top-plugin
99,Linked Data Helper,By kometenstaub,435,Prepare data needed by Linked Data Vocabularies.,https://github.com/kometenstaub/linked-data-helper
100,Link Range,By Ryan Mellmer,555,This Obsidian plugin brings ranged wiki-link support to Obsidian.,https://github.com/rmellmer/obsidian-link-range
101,Tagged Documents Viewer,By Marcus Geduld,9280,Opens a modal with scrollable content of all documents that contain a specific tag or tags.,https://github.com/mgeduld/obsidian-tagged-documents-viewer
102,Emo,By yaleiyale,734,Embed Markdown online file/image links. This plugin is for uploading images to hosting or files to GitHub in Obsidian.,https://github.com/yaleiyale/obsidian-emo-uploader
103,Search Obsidian in Google,By YuNing Chen,389,A simple plugin to search the current note in Google (or other search engines).,https://github.com/qazxcdswe123/search-obsidian-in-google
104,Vantage - Advanced search builder,By ryanjamurphy,19673,Build advanced search queries in Obsidian.,https://github.com/ryanjamurphy/vantage-obsidian
105,Path Finder,By jerrywcy,2699,Find all paths between two notes and render them as graph or text.,https://github.com/jerrywcy/obsidian-path-finder
106,Ordered List Style,By erykwalder,1167,"Set ordered list style inline. Alphabetic lists, Roman numeral lists, etc.",https://github.com/erykwalder/obsidian-list-style
107,Reading View Enhancer,By Galacsh,235,Enhances reading view. Use arrow keys to fold/unfold elements.,https://github.com/Galacsh/obsidian-reading-view-enhancer
108,Big Calendar,By Boninall,17752,A big calendar for Obsidian. All events from your daily notes OR tasks used TASKS/DATAVIEW/KANBAN format.,https://github.com/Quorafind/Obsidian-Big-Calendar
109,Habit Tracker,By David Moeller,2104,Display the Habits of a calendar week.,https://github.com/Narsail/habit-tracker-obsidian
110,Askify Sync,By Kishlay Raj,72,Syncing between Obsidian and Askify.,https://github.com/helloworldkr/Askify-Obsidian-Sync
111,Daily Activity,By trydalch,7361,This outputs a list of the files changed/created today in the active file.,https://github.com/trydalch/obsidian-daily-activity
112,Zotero Bridge,By Shmavon Gazanchyan,1951,Integrate with Zotero through ZotServer,https://github.com/vanakat/zotero-bridge
113,Mindmap Nextgen,By VeroCloud Pty Ltd (original by James Lynch),14861,Preview notes as Markmap mind maps.,https://github.com/verocloud/obsidian-mindmap-nextgen
114,Dynamic Highlights,By nothingislost,9773,"Dynamically highlight text based on cursor selection or search query with full regex, mobile, and live preview support",https://github.com/nothingislost/obsidian-dynamic-highlights
115,Callout Integrator,By Cleoche,440,Integrate long blocks of text into callouts.,https://github.com/Cleoche/obsidian-callout-integrator
116,Extract url content,By Stephen Solka,13892,Extract URL converting content into Markdown.,https://github.com/trashhalo/obsidian-extract-url
117,Chord Lyrics,By nevernotmove,632,"Display chord names over lyrics. Supports line wrapping, section headers and auto-detection.",https://github.com/nevernotmove/obsidian-chordlyrics
118,Flexible Pomodoro For Obsidian,By grassbl8d,5667,Adds a pomodoro timer to your status bar. This pomodoro has additional options such as early log and extend.,https://github.com/grassbl8d/flexible-pomo-obsidian
119,Advanced New File,By Ivan Chernov,9534,Create notes in chosen folder.,https://github.com/vanadium23/obsidian-advanced-new-file
120,Obsidian Handlebars Template Plugin,By Sean Quinlan,355,Adds support for handlebars template blocks in notes.,https://github.com/sbquinlan/obsidian-handlebars
121,Footnote Shortcut,"By Alexis Rondeau, Micha Brugger",50098,Makes creating footnotes in Obsidian more fun!,https://github.com/MichaBrugger/obsidian-footnotes
122,Marp,By JichouP,2202,Plugin for using Marp on Obsidian.,https://github.com/JichouP/obsidian-marp-plugin
123,Zoottelkeeper Plugin,By Akos Balasko,23928,"It maintains index files in all of your folders in your vault: if you create/delete/move a note, the index files will be updated automatically. It can be used to show folders in Graph View.",https://github.com/akosbalasko/zoottelkeeper-obsidian-plugin
124,Format Hotkeys,By Ansel Santosa,2551,Google Docs style formatting hotkeys for Obsidian.,https://github.com/anstosa/format-hotkeys-obsidian
125,Better footnote,By AidenLx,15081,Footnote popover for Obsidian.,https://github.com/aidenlx/better-fn
126,Plugin Groups,By Mocca101,8601,Manage your Plugins with groups: Enable & disable multiple plugins at once or delay their startup to speed up your Obsidian start up time.,https://github.com/Mocca101/obsidian-plugin-groups
127,Icon Folder,By FlorianWoelki,213900,Add icons to your folders.,https://github.com/FlorianWoelki/obsidian-icon-folder
128,Spotlight,By darakah,1223,Block that features random notes or block of a note from vault / in a specified project or with a certain combination of tags.,https://github.com/Darakah/obsidian-spotlight
129,Task Progress Bar,By Boninall,8689,A task progress bar plugin for tasks in Obsidian.,https://github.com/Quorafind/Obsidian-Task-Progress-Bar
130,Hotkeys for Bookmarks,By Vinzent,2891,Set an individual hotkey for the first 9 starred files and open them just with your keyboard.,https://github.com/Vinzent03/obsidian-shortcuts-for-starred-files
131,Import Foundry VTT journal entries,By farling42,727,Imports your journal entries from your selected Foundry VTT world into a folder within your Obsidian vault.,https://github.com/farling42/obsidian-import-foundry
132,Default New Tab Page,By pseudometa,5353,"Open a note of your choice when creating a new tab, like in the browser.",https://github.com/chrisgrieser/new-tab-default-page
133,Notion Video Embed,By lastknightcoder,625,Embed your Notion video in Obsidian.,https://github.com/LastKnightCoder/obsidian-notion-video
134,Restore Tab Key,By jerrymk,1081,"Restore tab key behaviour: tab key inserts a tab, the way it should be.",https://github.com/jrymk/restore-tab-key
135,Obsidian Webhooks,By Stephen Solka,2422,Plugin and service that connects your editor to the internet of things through webhooks.,https://github.com/trashhalo/obsidian-webhooks
136,Folder Note Core,By AidenLx,19583,Provide core features and API for folder notes,https://github.com/aidenlx/folder-note-core
137,Typewriter Scroll,By death_au,39958,Typewriter-style scrolling which keeps the view centered in the editor.,https://github.com/deathau/cm-typewriter-scroll-obsidian
138,OZ Calendar,By Ozan Tellioglu,1676,View your notes in Calendar using any YAML key with a date.,https://github.com/ozntel/oz-calendar
139,Any Block,By LincZero,725,"You can flexibility to create a 'Block' by some means. It also provides some useful features, like `list to table`.",https://github.com/LincZero/obsidian-any-block
140,Review Notes Plugin,By tjandy98,700,Shows recently modified and newly created files.,https://github.com/tjandy98/obsidian-review-notes-plugin
141,Smart Random Note,By Eric Hall,18654,Open random notes with greater control.,https://github.com/erichalldev/obsidian-smart-random-note
142,Omnivore,By Omnivore,10610,Omnivore plugin for Obsidian.,https://github.com/omnivore-app/obsidian-omnivore
143,Dangling links,By Graydon Hoare,7989,Adds a panel showing any dangling links in a vault.,https://github.com/graydon/obsidian-dangling-links
144,Obsidian42 - Text Transporter,By TfTHacker,7442,Advanced text tools for working with text in your vault.,https://github.com/TfTHacker/obsidian42-text-transporter
145,Auto Glossary,By Ennio Italiano,1896,"Automatically create a glossary of files, an index of files or both in Obsidian.",https://github.com/ennioitaliano/obsidian-auto-glossary
146,File Publisher,By Devin Sackett,128,Publishes a file to a given POST API.,https://github.com/yiglas/obsidian-file-publisher
147,Super Simple Time Tracker,By Ellpeck,5632,Multi-purpose time trackers for your notes!,https://github.com/Ellpeck/ObsidianSimpleTimeTracker
148,Novel Word Count,By Isaac Lyman,17120,"Displays a word count, page count, creation date, or other statistic for each file, folder and vault in the File Explorer pane.",https://github.com/isaaclyman/novel-word-count-obsidian
149,Obsidian Tabs,By foreveryone,49286,New panes are opened in a tabbed view.,https://github.com/gitobsidiantutorial/obsidian-tabs
150,Avatar,By froehlichA,712,Display an avatar image in your notes.,https://github.com/froehlichA/obsidian-avatar
151,GPT-LiteInquirer,By ittuann,497,"Experience OpenAI ChatGPT assistance directly within Obsidian, drafting content without interrupting your creative flow.",https://github.com/ittuann/obsidian-gpt-liteinquirer-plugin
152,Rich Links,By dhamaniasad,11811,Rich Links plugin that allows you to convert URLs in your notes to rich link previews.,https://github.com/dhamaniasad/obsidian-rich-links
153,ePub Reader,By caronchen,8550,"ePub reader plugin for Obsidian. Can open document with "".epub"" file extension.",https://github.com/caronchen/obsidian-epub-plugin
154,Templater,By SilentVoid,525926,Create and use templates.,https://github.com/SilentVoid13/Templater
155,Simple Note Quiz,By beginner137,1061,Start a simple quiz on your current note.,https://github.com/beginner137/Obsidian-simple-note-quiz
156,S3 attachments storage,By TechTheAwesome,191,Storage and retrieval of media attachments on S3 compatible services.,https://github.com/TechTheAwesome/obsidian-s3
157,Etherpad Lite,By egradman,564,Copy and sync notes with an Etherpad Lite server to unlock easy web-based collaboration with others.,https://github.com/egradman/obsidian-etherpad-lite
158,Weread Plugin,By hank zhao,17987,Sync Tencent Weread highlights and annotations.,https://github.com/zhaohongxuan/obsidian-weread-plugin
159,Topic Linking,By Liam Magee,8753,"Convert PDF files and web links to Markdown, and create topics from Markdown",https://github.com/liammagee/obsidian-topic-linking
160,Better CodeBlock,By StarGrey,13196,"Add title, line numbers, and collapse button to code blocks in reading view.",https://github.com/stargrey/obsidian-better-codeblock
161,Auto Class,By OfficerHalf,2186,Automatically apply CSS classes to Markdown views based on a note's path.,https://github.com/OfficerHalf/obsidian-auto-class
162,Advanced Tables,By Tony Grosinger,792463,"Improved table navigation, formatting, and manipulation.",https://github.com/tgrosinger/advanced-tables-obsidian
163,ProgressBar,By Wei Zhang,803,Render CodeBlock into a ProgressBar based on Time or Manually.,https://github.com/zwpaper/obsidian-progressbar
164,ProZen,By Moskvitin,2230,Enter Zen mode to focus on writing. The plugin expands current tab to full screen removing everything but content.,https://github.com/cmoskvitin/obsidian-prozen
165,Close Similar Tabs,By 1C0D,5203,Avoid to have a file opened several times in your tabs. (+setting: by window or everywhere).,https://github.com/1C0D/Obsidian-Close-Similar-Tabs
166,Grandfather,By Danny Hernandez,2887,A simple plugin to display the time and date on the status bar.,https://github.com/noatpad/obsidian-grandfather
167,Extract Highlights,By Alexis Rondeau,12149,Allows you to extract all ==highlights== in a note into your clipboard.,https://github.com/akaalias/extract-highlights-plugin
168,AWS DynamoDB For Obsidian,By Lee Nattress,157,Query AWS DynamoDB and render tables inside documents.,https://github.com/leenattress/obsidian-plugin-dynamodb
169,Auto Card Link,By Nekoshita Yuki,6475,Automatically fetches metadata from a URL and makes it as a card-styled link.,https://github.com/nekoshita/obsidian-auto-card-link
170,Focus Active Sentence,By artisticat,697,Highlight the sentence the cursor is currently resting on.,https://github.com/artisticat1/focus-active-sentence
171,Callout Manager,By eth-p,3598,Easily create and customize callouts.,https://github.com/eth-p/obsidian-callout-manager
172,Day and Night,By Kevin Patel,1393,Automatically toggle themes between day theme and night theme on a set time schedule.,https://github.com/CyberT17/obsidian-day-and-night
173,Actions URI,By Carlo Zottmann,4726,"Adds additional `x-callback-url` endpoints to the app for common actions — it's a clean, super-charged addition to Obsidian URI.",https://github.com/czottmann/obsidian-actions-uri
174,JSON/CSV Importer,By farling42,11132,"Import a JSON file containing an array of data, creating notes from a Handlebars template file.",https://github.com/farling42/obsidian-import-json
175,Vika Sync,By romantic-black,519,Sync your note to Vika,https://github.com/romantic-black/obsidain-vika-sync
176,3D Graph,By Alexander Weichart,5385,A 3D graph for Obsidian!,https://github.com/AlexW00/obsidian-3d-graph
177,Python lab,By Cristian Vasquez,2878,An interface to experiment with Python scripts and more.,https://github.com/cristianvasquez/obsidian-lab
178,Dynamic Timetable,By L7Cy,537,Calculate the estimated time of completion from the estimated time of the task and dynamically create a timetable.,https://github.com/L7Cy/obsidian-dynamic-timetable
179,Chevereto Image Uploader,By kkzzhizhou,311,Uploads images in your clipboard to chevereto.,https://github.com/kkzzhizhou/obsidian-chevereto-image-uploader
180,Zotero Integration,By mgmeyers,92407,"Insert and import citations, bibliographies, notes, and PDF annotations from Zotero.",https://github.com/mgmeyers/obsidian-zotero-integration
181,Redirect,By Jacob Levernier,842,"Facilitate management of especially non-markdown files, by allowing aliases to be set on any file.",https://github.com/jglev/obsidian-redirect
182,Excalidraw,By Zsolt Viczian,850487,Edit and view Excalidraw drawings.,https://github.com/zsviczian/obsidian-excalidraw-plugin
183,TimeStamper,By Martin Eder,10447,Insert a customized or predefined time- or date-stamp at the current cursor position.,https://github.com/Gru80/obsidian-timestamper
184,HTML Reader,By Nuthrash,8342,HTML file reader for Obsidian. Can open documents with .html and .htm file extensions.,https://github.com/nuthrash/obsidian-html-plugin
185,Periodic Notes,By Liam Cain,161498,"Create/manage your daily, weekly, and monthly notes.",https://github.com/liamcain/obsidian-periodic-notes
186,Autocomplete,By Yeboster,19823,Provides a text autocomplete feature to enhance typing speed.,https://github.com/Yeboster/autocomplete-obsidian
187,File Cleaner,By Johnson0907,6832,Help you to clean empty files and unused attachments in the vault.,https://github.com/Johnson0907/obsidian-file-cleaner
188,Booksidian,By Micha Brugger,2442,Connect your Goodreads shelves to your Obsidian vault.,https://github.com/MichaBrugger/booksidian_plugin
189,Terminal,By polyipseity,5719,"Integrate consoles, shells, and terminals inside Obsidian.",https://github.com/polyipseity/obsidian-terminal
190,Character Insertion,By TakamiChie,123,Plugin to insert a specified symbol under the cursor.,https://github.com/TakamiChie/Obsidian_CharacterInsertionPlugin
191,Smarter Markdown Hotkeys,By pseudometa,14141,Hotkeys that select words and lines in a smart way before applying markup. Multiple cursors are supported as well.,https://github.com/chrisgrieser/obsidian-smarter-md-hotkeys
192,Argument Map with Argdown,By amdecker,2926,Allows you to write argdown code blocks and view the maps in Preview.,https://github.com/amdecker/obsidian-argdown-plugin
193,13th Age Statblocks,By ben,791,Render 13th Age statblocks in Obsidian.,https://github.com/ben/obsidian-13th-age-statblocks
194,Text Dataset Aid Plugin,By Conner Ohnesorge,263,Aids in the creation of fine-tuning datasets for language models.,https://github.com/conneroisu/Text-Dataset-Aid-Plugin
195,Quick LaTeX for Obsidian,By joeyuping,62804,A simple plugin to simplify and speed up LaTeX math typing.,https://github.com/joeyuping/quick_latex_obsidian
196,Google Photos,By Alan Grainger,2117,Google Photos integration for Obsidian.,https://github.com/alangrainger/obsidian-google-photos
197,Fast Image Cleaner,By Nathaniel,1295,Quickly remove image attachments and referenced links from your documents in both Live Preview and Read mode using the right-click menu.,https://github.com/martinniee/Obsidian-fast-image-cleaner
