text-lg,col2,py-3,ml-auto href
Floating TOC,14187,This is a floating directory plugin that hovers a widget of the current directory on the notes page.,https://github.com/cumany/obsidian-floating-toc-plugin
Regex Find/Replace,14052,Provides a Find/Replace dialog which optionally supports regular expressions and scope (full document or text selection).,https://github.com/Gru80/obsidian-regex-replace
Chronology,14015,Provides a calendar and a timeline of the notes creation and modification.,https://github.com/Canna71/obsidian-chronology
Local images plus,13980,Local Images plus plugin is a reincarnation of Obsidian-local-images which main aim was downloading images in md notes to local storage.,https://github.com/Sergei-Korneev/obsidian-local-images-plus
Frontmatter Tag Suggest,13935,Autocompletes tags in the frontmatter tags field,https://github.com/jmilldotdev/obsidian-frontmatter-tag-suggest
Journey,13862,Discover the story between your notes.,https://github.com/akaalias/obsidian-journey-plugin
盘古 PanGu,13777,A small plugin aims to add space between Chinese Characters and English Alphabet and it is a boon for typographically compulsive people.,https://github.com/Natumsol/obsidian-pangu
Matter,13726,Official Matter Obsidian integration.,https://github.com/getmatterapp/obsidian-matter
Theme Picker,13701,Quickly preview and select installed themes,https://github.com/kenset/obsidian-theme-picker
Drag-n-Drop for blocks,13687,Allow moving/copying/and creation embeds for blocks with drag-n-drop just like Logseq or Roam Research.,https://github.com/artem-barmin/obsidian-block-drag-n-drop
Webpage HTML Export,13684,Exports an Obsidian document folder or vault as an HTML document / webpage / website with correct styling. Also has an interactive embedded dark / light theme toggle and document outline.,https://github.com/KosmosisDire/obsidian-webpage-export
Archiver,13592,Move completed tasks to an archive with a date tree,https://github.com/ivan-lednev/obsidian-task-archiver
Obsidian Math+,13436,Take math notes using Excalidraw.,https://github.com/ocapraro/obsidian-math-plus
Activity History,13356,Track activity of specified projects Github like activity board.,https://github.com/Darakah/obsidian-activity-history
Language Translator,13263,Translate selected text in the desired language.,https://github.com/twentytwokhz/language-translator
Stille,13206,Focus on your writing a section at a time.,https://github.com/michaellee/stille
Extract Highlights,13087,Allows you to extract all ==highlights== in a note into your clipboard.,https://github.com/akaalias/extract-highlights-plugin
Janitor,12907,Perform cleanup tasks on the Obsidian vault.,https://github.com/Canna71/obsidian-janitor
Jira Issue,12846,Track the progress of Atlassian Jira issues from your Obsidian notes.,https://github.com/marc0l92/obsidian-jira-issue
File path to URI,12747,Convert file path to uri for easier use of links to local files outside of Obsidian.,https://github.com/MichalBures/obsidian-file-path-to-uri
Tagged Documents Viewer,12714,Opens a modal with scrollable content of all documents that contain a specific tag or tags.,https://github.com/mgeduld/obsidian-tagged-documents-viewer
Update time on edit,12599,Keep frontmatter in sync with the last edit time.,https://github.com/beaussan/update-time-on-edit-obsidian
TimeStamper,12502,Insert a customized or predefined time- or date-stamp at the current cursor position.,https://github.com/Gru80/obsidian-timestamper
Creases,12243,Tools for effectively folding Markdown sections in Obsidian.,https://github.com/liamcain/obsidian-creases
Task Collector (TC),12209,Change task status and collect tasks within a document using hotkeys and context menus.,https://github.com/ebullient/obsidian-task-collector
Image Caption,12144,Add caption to images.,https://github.com/bicarlsen/obsidian_image_caption
Open vault in VS Code,12111,Ribbon button and command to open vault as a Visual Studio Code workspace.,https://github.com/NomarCub/obsidian-open-vscode
Shortcuts extender,12095,Use shortcuts for input special symbols without language switching.,https://github.com/ryjjin/Obsidian-shortcuts-extender
CustomJS,12093,Reuse custom JavaScript across desktop and mobile.,https://github.com/saml-dev/obsidian-custom-js
Pocket,11996,Access your Pocket reading list entries and create notes for them easily.,https://github.com/nybbles/obsidian-pocket
Link Embed,11991,Convert URLs in your notes into embeded previews.,https://github.com/Seraphli/obsidian-link-embed
Pandoc Reference List,11838,Displays a formatted reference in the sidebar for each pandoc citekey present in the current document.,https://github.com/mgmeyers/obsidian-pandoc-reference-list
Hotkeys for specific files,11799,Add commands for specific files and open them with a hotkey.,https://github.com/Vinzent03/obsidian-hotkeys-for-specific-files
Influx,11738,A bullet journaling plugin that aggregates a terse stream of backlinked clippings in the footer of notes.,https://github.com/jensmtg/influx
Bible Reference,11660,Take Bible study notes in Obsidian easily. Automatically suggests Bible verses as references.,https://github.com/tim-hub/obsidian-bible-reference
Importer,11500,Import data from Notion Evernote Google Keep Bear and HTML files.,https://github.com/obsidianmd/obsidian-importer
CSV Editor,11456,Edit CSV files in Obsidian.,https://github.com/deathau/csv-obsidian
Dynamic Highlights,11245,Dynamically highlight text based on cursor selection or search query with full regex mobile and live preview support,https://github.com/nothingislost/obsidian-dynamic-highlights
Metadata Extractor,11205,Metadata export (on a schedule) for integration with third-party apps like launchers or graph analysis software.,https://github.com/kometenstaub/metadata-extractor
Show Whitespace,11187,Show whitespace in the editor.,https://github.com/deathau/cm-show-whitespace-obsidian
txt as md,11142,Edit .txt files as Markdown in Obsidian.,https://github.com/deathau/txt-as-md-obsidian
Completed Task Display,11110,Provides controls for displaying or hiding completed tasks.,https://github.com/heliostatic/completed-task-display
CSV Table,11066,Render CSV data as a table within your notes.,https://github.com/coddingtonbear/obsidian-csv-table
Comments,10977,Add track and easily navigate between a note's comments.,https://github.com/Darakah/obsidian-comments-plugin
Plugin Groups,10963,Manage your Plugins with groups: Enable & disable multiple plugins at once or delay their startup to speed up your Obsidian start up time.,https://github.com/Mocca101/obsidian-plugin-groups
HTML Reader,10776,HTML file reader for Obsidian. Can open documents with .html and .htm file extensions.,https://github.com/nuthrash/obsidian-html-plugin
Ledger,10739,Plain text accounting.,https://github.com/tgrosinger/ledger-obsidian
ePub Reader,10732,"ePub reader plugin for Obsidian. Can open document with "".epub"" file extension.",https://github.com/caronchen/obsidian-epub-plugin
Advanced New File,10731,Create notes in chosen folder.,https://github.com/vanadium23/obsidian-advanced-new-file
Consistent attachments and links,10698,Move note attachments and update links automatically.,https://github.com/dy-sh/obsidian-consistent-attachments-and-links
Automatically reveal active file,10427,Automatically reveal the currently active file in the side navigation.,https://github.com/shichongrui/obsidian-reveal-active-file
Wikilinks to MDLinks,10360,Convert wikilinks to Markdown links and vice versa.,https://github.com/agathauy/wikilinks-to-mdlinks-obsidian
Custom Attachment Location,10341,Customize attachment location with variables($filename $data etc) like Typora.,https://github.com/RainCat1998/obsidian-custom-attachment-location
Task Progress Bar,10333,A task progress bar plugin for tasks in Obsidian.,https://github.com/Quorafind/Obsidian-Task-Progress-Bar
Maximise Active Pane,10233,Fills the workspace with the active pane.,https://github.com/deathau/maximise-active-pane-obsidian
Diagrams.net,10102,Enable diagrams.net (previously draw.io) type diagrams with the diagrams.net embedded editor.,https://github.com/jensmtg/obsidian-diagrams-net
Topic Linking,10095,Convert PDF files and web links to Markdown and create topics from Markdown,https://github.com/liammagee/obsidian-topic-linking
Text to Speech,9878,Text to speech for Obsidian. Hear your notes.,https://github.com/joethei/obsidian-tts
Better File Link,9856,Add better external file links to notes.,https://github.com/marcjulianschwarz/obsidian-file-link
Wikipedia,9824,Get the first section of Wikipedia for a note title or search term.,https://github.com/jmilldotdev/obsidian-wikipedia
Version History Diff (Sync File Recovery & Git),9711,Diff the version history of the core Sync and File Recovery plugins and Git for the active file. Adds a command to open the core Sync version history as well.,https://github.com/kometenstaub/obsidian-version-history-diff
Discord Rich Presence,9608,Update your Discord Status to show your friends what you are working on in Obsidian.,https://github.com/lukeleppan/obsidian-discordrpc
Lapel,9593,Show the heading levels in the gutter of the editor.,https://github.com/liamcain/obsidian-lapel
Taskbone OCR,9576,Extract text from images and make it available for search.,https://github.com/schlundd/obsidian-ocr-plugin
QuickShare,9422,Securely share your Obsidian notes with one click. Notes are end-to-end encrypted. No API keys or configuration required.,https://github.com/mcndt/obsidian-quickshare
ABC Music Notation,9372,Render music sheets directly from code blocks using ABC music notation via abcjs,https://github.com/abcjs-music/obsidian-plugin-abcjs
Folder notes,9302,Create notes within folders that can be accessed without collapsing the folder similar to the functionality offered in Notion.,https://github.com/LostPaul/obsidian-folder-notes
Custom window title,9293,Shows the current open note in the window title.,https://github.com/jplattel/open-note-to-window-title
Terminal,9223,Integrate consoles shells and terminals inside Obsidian.,https://github.com/polyipseity/obsidian-terminal
Close Similar Tabs,9175,Avoid to have a file opened several times in your tabs. (+setting: by window or everywhere).,https://github.com/1C0D/Obsidian-Close-Similar-Tabs
Find and replace in selection,9122,Finds what you are looking for in the selected text and replaces it with the specified text.,https://github.com/dy-sh/obsidian-find-and-replace-in-selection
Obsidian Clipper,8974,Helps you capture highlights from the web.,https://github.com/jgchristopher/obsidian-clipper
Obsidian shared to Notion,8916,Shares Obsidian files to Notion with the Notion API,https://github.com/EasyChris/obsidian-to-notion
File Hider,8887,Allows you to hide files and folders from the Obsidian file explorer if you don't want to see them anymore.,https://github.com/Oliver-Akins/file-hider
Second Window,8865,Allow images & notes to be viewed in new Obsidian windows.,https://github.com/javalent/second-window
Dangling links,8833,Adds a panel showing any dangling links in a vault.,https://github.com/graydon/obsidian-dangling-links
Actions URI,8823,Adds additional `x-callback-url` endpoints to the app for common actions — it's a clean super-charged addition to Obsidian URI.,https://github.com/czottmann/obsidian-actions-uri
Obsidian42 - WordNet Dictionary,8806,Brings WordNet a large lexical database of English developed by Princeton University to Obsidian.,https://github.com/TfTHacker/Obsidian-WordNet
Obsidian Query Language,8724,Query notes and represent data within Obsidian.,https://github.com/jplattel/obsidian-query-language
Hypothes.is,8712,Sync your Hypothesis highlights.,https://github.com/weichenw/obsidian-hypothesis-plugin
Media DB Plugin,8690,Query multiple APIs for movies series anime games music releases and wiki articles and import them into your vault.,https://github.com/mProjectsCode/obsidian-media-db-plugin
Daily Stats,8640,Track your daily word count.,https://github.com/dhruvik7/obsidian-daily-stats
Card View Mode,8605,Enable to view your notes as cards.,https://github.com/yo-goto/obsidian-card-view-mode
Audio Notes,8579,Create notes for podcasts and audio files and automatically generate transcripts while listening so you can quickly take notes on the best parts of the podcast.,https://github.com/jjmaldonis/obsidian-audio-notes
Auto Card Link,8579,Automatically fetches metadata from a URL and makes it as a card-styled link.,https://github.com/nekoshita/obsidian-auto-card-link
File Cleaner,8577,Help you to clean empty files and unused attachments in the vault.,https://github.com/Johnson0907/obsidian-file-cleaner
Github Publisher,8559,Github Publisher helps you to publish your notes on a preconfigured GitHub repository for free and more!,https://github.com/ObsidianPublisher/obsidian-github-publisher
Colored Text,8534,Color the selected texts.,https://github.com/erincayaz/obsidian-colored-text
Obsidian42 - Text Transporter,8525,Advanced text tools for working with text in your vault.,https://github.com/TfTHacker/obsidian42-text-transporter
Discordian Theme,8501,Fine-grained control of Discordian Theme.,https://github.com/radekkozak/discordian-plugin
Timestamp Notes,8483,Allows side-by-side notetaking with videos. Annotate your notes with timestamps to directly control the video and remember where each note comes from.,https://github.com/juliang22/ObsidianTimestampNotes
React Components,8444,Write and use React (Jsx) components in your notes.,https://github.com/elias-sundqvist/obsidian-react-components
Numerals,8379,Numerals turns any code block into an advanced calculator. Evaluates math expressions on each line of a code block including units currency and optional TeX rendering.,https://github.com/gtg922r/obsidian-numerals
Tidy Footnotes,8294,Tidy your footnotes seamlessly.,https://github.com/charliecm/obsidian-tidy-footnotes
Tweet to Markdown,8165,Save tweets as Markdown files along with their images polls etc.,https://github.com/kbravh/obsidian-tweet-to-markdown
Advanced Cursors,8115,Use multiple cursors even more powerfully.,https://github.com/SkepticMystic/advanced-cursors
Daily Activity,7994,This outputs a list of the files changed/created today in the active file.,https://github.com/trydalch/obsidian-daily-activity
Raindrop Highlights,7965,Sync your Raindrop.io highlights.,https://github.com/kaiiiz/obsidian-raindrop-highlights-plugin
Obsidian Link Converter,7921,Scan all your links in the vault and convert them to your desired format.,https://github.com/ozntel/obsidian-link-converter
Obsidian42 - Jump-to-Date,7815,Popup calendar for quickly navigating dates.,https://github.com/TfTHacker/obsidian42-jump-to-date
Attachment Name Formatting,7782,Formatting attachments name (filename attachmentType indexNumber.xxx).,https://github.com/JYC333/obsidian-attachment-name-formatting
3D Graph,7708,A 3D graph for Obsidian!,https://github.com/AlexW00/obsidian-3d-graph
Prettier Format,7674,Opinionated formatting for your notes.,https://github.com/hipstersmoothie/obsidian-plugin-prettier
TikZJax,7645,Render LaTeX and TikZ diagrams in your notes.,https://github.com/artisticat1/obsidian-tikzjax
Tasks Calendar Wrapper,7631,Simple wrapper for Obsidian Tasks Calendar and Obsidian Tasks Timeline.,https://github.com/Leonezz/obsidian-tasks-calendar-wrapper
Chat View,7623,Chat View lets you quickly and easily create elegant Chat UIs in your Markdown Files.,https://github.com/adifyr/obsidian-chat-view
Regex Pipeline,7618,Set up custom regex rules to automatically format notes.,https://github.com/No3371/obsidian-regex-pipeline
Folder Index,7591,Automatically generate a Map of Content for the current Folder and Subfolders.,https://github.com/turulix/obsidian-folder-index
Open Gate,7496,Embed any website to Obsidian from now all you have anything you need in one place.,https://github.com/nguyenvanduocit/obsidian-open-gate
Embedded Code Title,7398,Embeds title to code blocks.,https://github.com/tadashi-aikawa/obsidian-embedded-code-title
Text Expander,7367,Expand text shortcuts run shell commands and Python scripts right in your editor.,https://github.com/konodyuk/obsidian-text-expander
Luhman,7346,Commands for handling a zettelkasten with Luhman-style IDs as filenames.,https://github.com/Dyldog/luhman-obsidian-plugin
Note Folder Autorename,7335,Turn notes into folders and automaticaly move/rename their folders when they move or are renamed.,https://github.com/pjeby/note-folder-autorename
css snippets,7331,Load and manage CSS snippets.,https://github.com/jdbrice/obsidian-css-snippets
Open Link With,7282,Open external link with specific browser in Obsidian.,https://github.com/MamoruDS/obsidian-open-link-with
RPG Manager,7280,Tabletop role playing game campaign manager.,https://github.com/carlonicora/obsidian-rpg-manager
Markdown Attributes,7240,Add Markdown attributes to elements in Obsidian.,https://github.com/javalent/markdown-attributes
Super Simple Time Tracker,7232,Multi-purpose time trackers for your notes!,https://github.com/Ellpeck/ObsidianSimpleTimeTracker
Footlinks,7202,Extracts URLs from main text to footer.,https://github.com/DahaWong/obsidian-footlinks
File Info Panel,7159,Creates a File Info view that displays the active file's date created date modified file size and links to open the file in its native application and to open the file's folder.,https://github.com/CattailNu/obsidian-file-info-panel-plugin
Theme Design Utilities,7113,Some utilities and Quality-of-Life features for designers of Obsidian themes.,https://github.com/chrisgrieser/obsidian-theme-design-utilities
Key Promoter,7014,Learn keyboard shortcuts by showing them when using the mouse,https://github.com/joethei/obsidian-key-promoter
WordPress,7007,Publish your Obsidian documents to WordPress.,https://github.com/devbean/obsidian-wordpress
MarginNote Companion,6855,Bridge MarginNote 3 and Obsidian.,https://github.com/aidenlx/marginnote-companion
Pomodoro,6790,Simple pomodoro plugin for Obsidian.,https://github.com/tokuhirom/obsidian-pomodoro-plugin
Daily Note Outline,6771,Add a custom view which shows outline of multiple daily notes with headings links tags and list items.,https://github.com/iiz00/obsidian-daily-note-outline
Habit Tracker,6758,Creates a simple month view for visualizing your punch records.,https://github.com/duoani/obsidian-habit-tracker
Daily Notes Viewer,6675,Help you to view some recent daily notes on one page.,https://github.com/Johnson0907/obsidian-daily-notes-viewer
Default New Tab Page,6643,Open a note of your choice when creating a new tab like in the browser.,https://github.com/chrisgrieser/new-tab-default-page
Home tab,6642,A browser-like search tab for your local files.,https://github.com/olrenso/obsidian-home-tab
Add links to current note,6620,Adds a command to add a link to the current note at the bottom of selected notes.,https://github.com/mrjackphil/obsidian-crosslink-between-notes
Translate,6593,Translate text and notes with Google Translate DeepL Azure and more.,https://github.com/Fevol/obsidian-translate
Persistent Graph,6584,Save and restore the positions of nodes on your graph.,https://github.com/Sanqui/obsidian-persistent-graph
Callout Manager,6583,Easily create and customize callouts.,https://github.com/eth-p/obsidian-callout-manager
Flexible Pomodoro For Obsidian,6493,Adds a pomodoro timer to your status bar. This pomodoro has additional options such as early log and extend.,https://github.com/grassbl8d/flexible-pomo-obsidian
HTML Tags Autocomplete,6480,Automatically add closing HTML tags.,https://github.com/bicarlsen/obsidian_html_tags_autocomplete
Dialogue,6451,Create dialogues in Markdown.,https://github.com/holubj/obsidian-dialogue-plugin
Inline Scripts,6429,Type text shortcuts which are then replaced with JavaScript generated text.,https://github.com/jon-heard/obsidian-inline-scripts
Incremental Writing,6426,Incrementally review notes and blocks over time.,https://github.com/bjsi/incremental-writing
Khoj,6423,An AI personal assistant for your digital brain.,https://github.com/khoj-ai/khoj
Calibre,6415,Access your Calibre libraries and read books directly in Obsidian.,https://github.com/caronchen/obsidian-calibre-plugin
Copy document as HTML,6379,Copy the current document to clipboard as HTML including images.,https://github.com/mvdkwast/obsidian-copy-as-html
Paste Mode,6302,Paste content and mark block quotes at any level of indentation.,https://github.com/jglev/obsidian-paste-mode
Meld Calc,6266,Do math! Evaluate math expressions within your notes.,https://github.com/meld-cp/obsidian-calc
Note Linker,6259,Automatically find and create new links between notes.,https://github.com/AlexW00/obsidian-note-linker
Hide Sidebars on Window Resize,6158,Automatically hides the sidebars when your window is narrow on window resize,https://github.com/NomarCub/obsidian-hide-sidebars-on-window-resize
Image Gallery,6109,A zero setup masonry image gallery for Obsidian,https://github.com/lucaorio/obsidian-image-gallery
Global Search and Replace,5981,Search and replace in all vault files.,https://github.com/MahmoudFawzyKhalil/obsidian-global-search-and-replace
Auto pair chinese symbol,5977,Auto-pair Chinese symbols.,https://github.com/renmu123/obsidian-auto-pair-chinese-symbol
Meta Bind Plugin,5893,Create input fields inside your notes and bind them to metadata fields.,https://github.com/mProjectsCode/obsidian-meta-bind-plugin
Extract PDF Annotations,5864,Extract PDF annotations (notes and highlights) and sort them by topic.,https://github.com/munach/obsidian-extract-pdf-annotations
Carry-Forward,5850,Copy text from a note linking back to its copied source or copy a link to a note block.,https://github.com/jglev/obsidian-carry-forward
Obsidian Trello,5810,Connect Trello cards to Obsidian notes.,https://github.com/OfficerHalf/obsidian-trello
Canvas CSS class,5787,Add a CSS class to the canvas but also other attributes.,https://github.com/Lisandra-dev/obsidian-canvas-css-class
From Template,5776,Create new notes from Templates - for each Template provides a Command to trigger it and a form to fill in any variables in the template.,https://github.com/mo-seph/obsidian-note-from-template
Code block from selection,5761,Adds code block for the selected text.,https://github.com/dy-sh/obsidian-code-block-from-selection
Leader Hotkeys,5755,Add leader hotkey support to any command (like tmux or vim).,https://github.com/tgrosinger/leader-hotkeys-obsidian
Trash Explorer,5750,Restore and delete files from the Obsidian .trash folder,https://github.com/proog/obsidian-trash-explorer
Cryptsidian,5747,Encrypt all files in your Obsidian vault with a password.,https://github.com/triumphantomato/cryptsidian
ibook,5696,Export your Apple iBook hightlights and annotations into your Obsidian vault.,https://github.com/bingryan/obsidian-ibook-plugin
Heading Shifter,5625,Easily Shift and Change Markdown headings.,https://github.com/k4a-l/obsidian-heading-shifter
Reveal Active File Button,5592,Add a button to the top of the File Explorer to reveal the active file.,https://github.com/claremacrae/reveal-active-file-button-plugin
Doubleshift,5574,Open the command palette by pressing Shift (or any other key) twice like in IntelliJ and create your own shortcuts.,https://github.com/Qwyntex/doubleshift
Budget WYSIWYG,5568,Automatically switches between preview mode and source mode based on if you are typing or not.,https://github.com/OwnJoke/obsidian-budget-wysiwyg
AidenLx's Folder Note - folderv Component,5494,Optional `folderv` component for alx-folder-note.,https://github.com/aidenlx/alx-folder-note-folderv
Dangerzone Writing,5486,This plugin is dangerous! When you start it you have to write without stopping for 100 seconds. If you stop think and look around after 3 seconds the plugin will DELETE what you've written in this note.,https://github.com/akaalias/dangerzone-writing-plugin
Obsidian Orthography,5464,Check & fix orthography errors in text.,https://github.com/denisoed/obsidian-orthography
Folder Focus Mode,5437,Focus file explorer on chosen folder and its files and subdirectories while hiding all the other elements.,https://github.com/grochowski/obsidian-folder-focus-mode
Word Sprint,5428,Word Sprint for your writing projects like NaNoWriMo.,https://github.com/kinabalu/obsidian-word-sprint
Google Tasks,5420,Interact with your Google Tasks from inside Obsidian.,https://github.com/YukiGasai/obsidian-google-tasks
Google Calendar and Contacts Lookup,5417,Import contact and calendar event information from your Google account.,https://github.com/ntawileh/obsidian-google-lookup
Code Emitter,5363,Allows code blocks to be executed interactively in a sandbox like Jupyter notebooks. Supported language Rust Kotlin Python JavaScript TypeScript etc.,https://github.com/mokeyish/obsidian-code-emitter
Vault Changelog,5349,Maintain a changelog of recently edited files in your vault.,https://github.com/badrbouslikhin/obsidian-vault-changelog
Note Auto Creator,5253,Automatically create notes when links are created to them.,https://github.com/SimonTC/obsidian-note-autocreation
Obsidian OCR,5251,Use optical character recognition to search for text in you images and PDFs.,https://github.com/MohrJonas/obsidian-ocr
Tag Word & Link Cloud,5247,Show a cloud of your tags/words/links,https://github.com/joethei/obsidian-tagcloud
Electron Window Tweaker,5211,Tweak various Electron window settings.,https://github.com/mgmeyers/obsidian-electron-window-tweaker
Unique attachments,5206,Rename attachments making their names unique (based on hashing of file content).,https://github.com/dy-sh/obsidian-unique-attachments
Desmos,5164,Embed Desmos graphs into your notes.,https://github.com/Nigecat/obsidian-desmos
Thumbnails,5127,Insert YouTube thumbnails into your notes,https://github.com/Meikul/obsidian-thumbnails
Pluck,5080,Quickly create notes in Obsidian from web pages.,https://github.com/kevboh/obsidian-pluck
Markdown Furigana,5069,Simple Markdown to Furigana Rendering Plugin for Obsidian.,https://github.com/steven-kraft/obsidian-markdown-furigana
Dynamic RTL,5049,Dynamic RTL/LTR direction per line/paragraph dependant on language!,https://github.com/mwxgaf/obsidian-dynamic-rtl
Douban,5024,Import movies/books/musics/notes/games info data from Douban for Obsidian.,https://github.com/Wanxp/obsidian-douban
Commits,4977,Track & show commits in Obsidian vault or specified project.,https://github.com/Darakah/obsidian-commits
Image Captions,4951,Adds captions to images when there is alt-text specified.,https://github.com/alangrainger/obsidian-image-captions
Org Mode,4947,Add Org Mode support to Obsidian.,https://github.com/ryanpcmcquen/obsidian-org-mode
Readwise Community,4947,Sync Readwise highlights into your notes,https://github.com/renehernandez/obsidian-readwise
Link Exploder,4944,Link Exploder creates a canvas from a note embedding it's incoming (i.e. backlinks) and outgoing links onto the canvas (as well as the their linked notes).,https://github.com/benhughes/obsidian-link-exploder
Ghost Fade Focus,4928,Focused on the current line others faded like a ghost!,https://github.com/skipadu/obsidian-ghost-fade-focus
Todoist Link,4924,Create Todoist tasks and projects including bidirectional links from Obsidian.,https://github.com/dennisseidel/obsidian-todoist-link
Function Plot,4883,Render mathematical functions in a Markdown codeblock.,https://github.com/leonhma/obsidian-functionplot
Sidebar Expand on Hover,4849,Expands or collapses the sidebar based on mouse hovering on the left ribbon.,https://github.com/toiq/obsidian-sidebar-expand-on-hover
Aut-O-Backups,4847,Automated Dropbox backups of your entire vault.,https://github.com/ryanpcmcquen/obsidian-dropbox-backups
Neo4j Graph View,4828,Advanced graph visualization and querying using Neo4j.,https://github.com/HEmile/obsidian-neo4j-graph-view
Better Inline Fields,4779,Enhances Dataview style inline fields.,https://github.com/dsarman/better-inline-fields
Whisper,4720,Speech-to-text using OpenAI Whisper.,https://github.com/nikdanilov/whisper-obsidian-plugin
Advanced Codeblock,4709,Add additional features to code blocks.,https://github.com/lijyze/obsidian-advanced-codeblock
Apple Reminders,4704,Attempt to bring Apple Reminders into Obsidian.,https://github.com/urishiraval/obsidian-apple-reminders-plugin
Obsidian Graphviz,4702,Render Graphviz diagrams.,https://github.com/QAMichaelPeng/obsidian-graphviz
Frontmatter Links,4687,Renders links in a note's frontmatter as links.,https://github.com/Trikzon/obsidian-frontmatter-links
Chesser,4609,A chess game viewer/editor.,https://github.com/SilentVoid13/Chesser
Obsidian Markdown export,4588,Markdown export for Obsidian.,https://github.com/bingryan/obsidian-markdown-export-plugin
DEVONlink,4568,Open or reveal the current note in DEVONthink.,https://github.com/ryanjamurphy/DEVONlink-obsidian
Rewarder,4518,Gives you rewards for completing tasks/todos highly configurable.,https://github.com/Gnopps/obsidian-rewarder
Bulk Rename,4504,Rename files based on a pattern.,https://github.com/OlegLustenko/obsidian-bulk-rename
Image Inserter,4493,Help users easily search and insert images to editors from Unsplash.,https://github.com/cloudy9101/obsidian-image-inserter
File Order,4478,Use number-prefixes in your file names to define a custom order and drag-and-drop the files to update that order.,https://github.com/lukasbach/obsidian-file-order
Simple Note Review,4472,Simple customizable plugin for easy note review resurfacing  & repetition.,https://github.com/dartungar/obsidian-simple-note-review
Things Logbook,4470,Sync your Things logbook with your daily notes.,https://github.com/liamcain/obsidian-things-logbook
Youglish Plugin,4469,Use YouTube to improve your pronunciation. YouGlish plugin gives you fast unbiased answers about how words is spoken by real people and in context.,https://github.com/nhaouari/obsidian-youglish-plugin
Podcast Note,4462,Podcast Note lets you automatically add podcast information to your notes.,https://github.com/marcjulianschwarz/obsidian-podcast-note
Shortcut Launcher,4450,Trigger shortcuts in Apple's Shortcuts app from Obsidian with custom commands.,https://github.com/macstories/obsidian-shortcut-launcher
Bible Linker,4439,Link/Copy multiple Bible verses easily using your own Bible files. Compatible with the Bible Study Kit.,https://github.com/kuchejak/obsidian-bible-linker-plugin
AI Commander,4423,Generate audio transcripts images and text in context of PDF attachments or web search results using OpenAI and Bing API.,https://github.com/yzh503/obsidian-aicommander-plugin
Todoist Text,4413,Integrate your Todoist tasks with Markdown checkboxes.,https://github.com/wesmoncrief/obsidian-todoist-text
Cursor Location,4411,This displays the location of the cursor (character and line number).,https://github.com/spslater/obsidian-cursor-location-plugin
Script Launcher,4393,Launch scripts from the Obsidian app. You can add scripts shortcuts on your bottom bar and launch them with just one click!,https://github.com/AlessandroRuggiero/script-launcher
Tag Summary,4390,Creates summaries with paragraphs or blocks of text that share the same tag(s).,https://github.com/macrojd/tag-summary
Task Marker,4382,Change task status and append text with hotkeys and context menu. Create complete cancel and mark tasks cycle among configured task statuses and append text (automatically).,https://github.com/wenlzhang/obsidian-task-marker
Scroll to Top Plugin,4369,Adds a button to scroll to the top of the current note.,https://github.com/cloudhao1999/obsidian-scroll-to-top-plugin
Ninja Cursor,4363,The plugin which enhance cursor visiblity.,https://github.com/vrtmrz/ninja-cursor
Yaml Manager,4317,Keep you away from directly operating YAML frontmatter.,https://github.com/lijyze/obsidian-state-switcher
Mathpad,4220,Computer Algebra System and calculator for Obsidian,https://github.com/Canna71/obsidian-mathpad
Page Gallery,4199,Creates an embeddable gallery based on selected page contents.,https://github.com/tokenshift/obsidian-page-gallery
Links,4183,Manipulate links,https://github.com/mii-key/obsidian-links
Keyboard Analyzer,4162,See and analyse your keyboard hotkeys and shortcuts.,https://github.com/cogscides/obsidian-keyboard-analyzer
Export To TeX,4161,Export vault files in a format amenable to pasting into a TeX document.,https://github.com/raineszm/obsidian-export-to-tex
No Dupe Leaves,4120,Don't reopen notes that are already open.,https://github.com/scambier/obsidian-no-dupe-leaves
Aosr,4111,Another Obsidian spaced repetition. It uses flashcards to help review and remember knowledge.,https://github.com/linanwx/aosr
Path Title,4098,Adds path (or optional replacement) to the filename title of each pane.,https://github.com/jdeal/obsidian-path-title-plugin
Recall,4091,A flexible and configurable spaced repetition plugin with multiple algorithms to choose from.,https://github.com/martin-jw/obsidian-recall
Prominent Bookmarked Files,4090,Prominently display bookmarked notes in the file explorer.,https://github.com/javalent/prominent-files
ToggleList,4090,A simple plugin to toggle the checklist states (paragraph/list/checklist/custom sytles...).,https://github.com/thingnotok/obsidian-toggle-list
YTranscript,4088,Easily fetch transcription for any YouTube video.,https://github.com/lstrzepek/obsidian-yt-transcript
Gist,4063,Display the GitHub Gist.,https://github.com/linjunpop/obsidian-gist
Transcription,4063,Plugin to create high-quality transcriptions via Whisper from Markdown linked audio files.,https://github.com/djmango/obsidian-transcription
Fantasy Content Generator,4061,A Fantasy Content Generator for Obsidian for All Your TTRPG / World Building Needs.,https://github.com/Gregory-Jagermeister/Fantasy-Content-Generator
Translator,4050,Translate selected text.,https://github.com/luhaifeng666/obsidian-translator
Obsidian Anki Sync,4019,Make flashcards and sync them to Anki.,https://github.com/debanjandhar12/Obsidian-Anki-Sync
Snippetor,3997,Create and tweak common snippets,https://github.com/ebullient/obsidian-snippetor
