text-lg,col2,py-3,ml-auto href
Find orphaned files and broken links,105537,Find files that are not linked anywhere and would otherwise be lost in your vault. In other words: files with no backlinks.,https://github.com/Vinzent03/find-unlinked-files
Enhancing Mindmap,105514,This is a enhancing mindmap plugin for Obsidian. You can edit mindmap on Markdown.,https://github.com/MarkMindCkm/obsidian-enhancing-mindmap
cMenu,105444,Adds a minimal text editor modal for a smoother writing/editing experience.,https://github.com/chetachiezikeuzor/cMenu-Plugin
Obsidian Charts,102673,Easily create Charts within Obsidian!,https://github.com/phibr0/obsidian-charts
Banners,100212,Add banner images to your notes!,https://github.com/noatpad/obsidian-banners
Commander,88426,Customize your workspace by adding commands everywhere create macros and supercharge your mobile toolbar.,https://github.com/phibr0/obsidian-commander
Reminder,85080,Manage Markdown TODOs with reminder.,https://github.com/uphy/obsidian-reminder
ExcaliBrain,82891,ExcaliBrain is inspired by TheBrain and Breadcrumbs. It is an interactive structured mind-map of your Obsidian vault generated based on the folders and files in your vault by interpreting the links Dataview fields tags and YAML frontmatter in your Markdown files.,https://github.com/zsviczian/excalibrain
Auto Link Title,82141,Automatically fetches the titles of links from the web.,https://github.com/zolrath/obsidian-auto-link-title
Breadcrumbs,80893,Visualise the hierarchy of your vault using a breadcrumb trail or matrix view.,https://github.com/SkepticMystic/breadcrumbs
Obsidian Leaflet,80373,Interactive maps inside your notes.,https://github.com/javalent/obsidian-leaflet
Obsidian42 - BRAT,77387,Easily install a beta version of a plugin for testing.,https://github.com/TfTHacker/obsidian42-brat
Quick LaTeX for Obsidian,76208,A simple plugin to simplify and speed up LaTeX math typing.,https://github.com/joeyuping/quick_latex_obsidian
Image Toolkit,75829,When you click an image it will be displayed in a popup layer and you can view drag zoom rotate the image.,https://github.com/sissilab/obsidian-image-toolkit
Readwise Official,74972,Official Readwise <-> Obsidian integration.,https://github.com/readwiseio/obsidian-readwise
Dice Roller,74098,Add a little randomness to your notes!,https://github.com/javalent/dice-roller
Fantasy Calendar,72999,Fantasy calendars in Obsidian!,https://github.com/fantasycalendar/obsidian-fantasy-calendar
Editing Toolbar,72880,The Editing Toolbar is modified from cmenu which provides more powerful customization settings and has many built-in editing commands to be a MS Word-like toolbar editing experience.,https://github.com/cumany/obsidian-editing-toolbar
Obsidian Enhancing Export,72639,A enhancing export plugin base on pandoc for Obsidian. It allows to export to formats like HTML DOCX ePub and PDF or Hugo.,https://github.com/mokeyish/obsidian-enhancing-export
Pane Relief,72528,Per-pane history hotkeys for pane movement + navigation and more.,https://github.com/pjeby/pane-relief
Media Extended,71849,Improve media (video/audio) playing in Obsidian.,https://github.com/aidenlx/media-extended
Tracker,71750,Tracks occurrences and numbers in your notes.,https://github.com/pyrochlore/obsidian-tracker
Zoom,69276,Zoom into heading and lists.,https://github.com/vslinko/obsidian-zoom
Table of Contents,68456,Create a table of contents for a note.,https://github.com/hipstersmoothie/obsidian-plugin-toc
Self-hosted LiveSync,68220,Community implementation of self-hosted livesync. Reflect your vault changes to some other devices immediately. Please make sure to disable other synchronize solutions to avoid content corruption or duplication.,https://github.com/vrtmrz/obsidian-livesync
Hotkeys++,66736,Additional hotkeys to do common things in Obsidian.,https://github.com/argenos/hotkeysplus-obsidian
Quick Explorer,65846,Perform file explorer operations (and see your current file path) from the title bar using the mouse or keyboard,https://github.com/pjeby/quick-explorer
Fantasy Statblocks,65105,Create Fantasy Statblocks in Obsidian.,https://github.com/javalent/fantasy-statblocks
Multi-Column Markdown,64796,Create Markdown documents with multiple columns of content viewable within Obsidian's preview mode.,https://github.com/ckRobinson/multi-column-markdown
Excel to Markdown Table,64707,Paste data from Microsoft Excel Google Sheets Apple Numbers and LibreOffice Calc as Markdown tables in Obsidian editor.,https://github.com/ganesshkumar/obsidian-excel-to-markdown-table
Folder Note,63933,Add description note to a folder.,https://github.com/xpgo/obsidian-folder-note-plugin
PDF Highlights,62623,Extract highlights underlines and annotations from your PDFs into Obsidian.,https://github.com/akaalias/obsidian-extract-pdf-highlights
Supercharged Links,62542,Adds attributes to internal links with the values of target note's frontmatter attributes.,https://github.com/mdelobelle/obsidian_supercharged_links
Contextual Typography,62328,Adds a data-tag-name attribute to all top-level divs in preview mode containing the child's tag name allowing contextual typography styling.,https://github.com/mgmeyers/obsidian-contextual-typography
Kindle Highlights,60371,Sync your Kindle book highlights using your Amazon login or uploading your My Clippings file.,https://github.com/hadynz/obsidian-kindle-plugin
Easy Typing,59991,Auto format when typing.,https://github.com/Yaozhuwa/easy-typing-obsidian
Obsidian Memos,59582,Works perfect with your journal,https://github.com/Quorafind/Obsidian-Memos
Rollover Daily Todos,59154,Rollover any unchecked checkboxes from your last daily note into today's note.,https://github.com/lumoe/obsidian-rollover-daily-todos
Footnote Shortcut,59130,Makes creating footnotes in Obsidian more fun!,https://github.com/MichaBrugger/obsidian-footnotes
Markdown prettifier,59093,Fix and reformats ugly Markdown.,https://github.com/cristianvasquez/obsidian-prettify
TagFolder,56337,Show tags as folder.,https://github.com/vrtmrz/obsidian-tagfolder
Icons,56086,Add icons to your notes.,https://github.com/visini/obsidian-icons-plugin
MetaEdit,55991,MetaEdit helps you manage your metadata.,https://github.com/chhoumann/MetaEdit
Metadata Menu,55794,For data quality enthusiasts and Dataview users: access and manage the metadata of your notes.,https://github.com/mdelobelle/metadatamenu
